楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
4918153,盛筑,上海,11,松江区,15,九亭,141,上海松江区九亭涞寅路505弄1号,外郊环,,,,65-146㎡,住宅：130723m² 别墅：130723m²,住宅：186508m² 别墅：186508m²,"[{""id"": 391533, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 65}, {""id"": 391537, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 391530, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 101100, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 114}, {""id"": 101104, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 133}, {""id"": 101099, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 146}]",1/2/3/4室,"1室户型,2室户型,3室户型,4室户型",1996-06-02,2020年04月23日,1996年,1997年,[],多层,住宅：小高层、高层 别墅：联排别墅,住宅：70年 别墅：70年,住宅：1.65 别墅：1.65,住宅：50% 别墅：50%,住宅：3219 别墅：3219,,,住宅,雅生活服务,住宅：1.83元/㎡/月,,住宅：1000 别墅：1000,住宅：1:0.3 别墅：1:0.3,售罄,售罄,售罄,"[""松江房地(2007)预字1185号"", ""沪房地松字2008第015378号"", ""松江房地(2008)预字0508号"", ""松江房地(2008)预字0896号"", ""松江房管(2011)预字0255号"", ""松江房管(2011)预字0256号"", ""松江房管(2012)预字0115号"", ""松江房管(2012)预字0116号"", ""沪房地松字2013第001460号"", ""松江房管(2014)预字0000355"", ""沪房地松字2015第037677号"", ""松江房地(2008)预字0000259号""]",[],金茂,,上海丰柏企业发展有限公司,住宅：民电,住宅：民水,31.146228,121.315565,"{""service_num"": ""4006708287"", ""num"": """"}","{""53"": ""高绿化率"", ""52"": ""低容积"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""54"": ""大型社区""}","[""高绿化率"", ""低容积"", ""外郊环"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/792c8aeac1730515724aa10f040b8741/275x206n.jpg,[],涞寅路505弄
2764291,天金色居,上海,11,徐汇区,5,龙华,45,上海徐汇区龙华天钥桥南路999弄,内中环,,,,132-224㎡,17600m²,65000m²,"[{""id"": 602439, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 132}, {""id"": 602437, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 179}, {""id"": 602432, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 224}]",3/4室,"3室户型,4室户型",1996-11-11,2020年12月18日,1996年,1997年,"[""2020-12-04""]","{多层,高层}",多层、高层,70年,2.5,35%,229,带装修,,住宅,融创服务,10.3元/㎡/月,,436,1:1.7,售罄,售罄,售罄,"[""徐汇房管(2020)预字0000334号""]","[""1#、2#、3#、4#""]",路劲,融创中国,融创中国,民电,民水,31.172558,121.465846,"{""service_num"": ""4006708287"", ""num"": """"}","{""56"": ""车位充足"", ""29"": ""装修交付"", ""12"": ""内中环"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""641"": ""寄宿制中学"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""607"": ""市一级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""600"": ""市级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""263"": ""VR看房"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""车位充足"", ""装修交付"", ""内中环"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/50753e6d08050ba3d5d23de03f0b4fbb/275x206n.jpg,[],上海市徐汇区天钥桥南路1001号
6755812,金陵梦想湾,上海,11,黄浦区,4,豫园,34,上海黄浦区豫园浙江南路133弄,内环内,22109元/㎡,22109元/㎡,首付802万，月供192953元,270-450㎡,,,"[{""id"": 861411, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 270}, {""id"": 861414, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 288}, {""id"": 861415, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 288}, {""id"": 861428, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 338}, {""id"": 877501, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 360}, {""id"": 877502, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 365}, {""id"": 877503, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 365}, {""id"": 877504, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 370}, {""id"": 877505, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 450}]",4室,4室户型,1996-10-26,2025年11月16日,1996年,1997年,"[""2025-11-06"", ""2025-09-09"", ""2025-03-11""]",{},,70年,,,,,在建中，竣工时间：暂无数据,住宅,世茂服务,,,,,售罄,售罄,售罄,"[""黄浦房管(2025)预字0000365号"", ""黄浦房管(2025)预字0000267号"", ""黄浦房管(2025)预字0000034号""]","[""RT2#"", ""RT1#"", ""RT3#、RT4#""]",华润,,,民电,民水,31.223571,121.488645,"{""service_num"": ""4006708287"", ""num"": ""56659""}","{""11"": ""内环内"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""7"": ""项目在建"", ""10"": ""多轨交"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""91"": ""热评楼盘"", ""90"": ""人气楼盘"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""263"": ""VR看房""}","[""内环内"", ""轨交房"", ""厨卫全明"", ""南北通透"", ""卧室全朝南""]",https://pic4.ajkimg.com/display/xinfang/a651762e07cc025125912993f241fe12/275x206n.jpg,"[{""id"": ""7195311"", ""loupan_id"": ""517877"", ""station_id"": ""3212"", ""subway_id"": ""66"", ""city_id"": ""11"", ""distance"": ""573米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""大世界"", ""distance_raw"": ""573""}, {""id"": ""7195286"", ""loupan_id"": ""517877"", ""station_id"": ""10360"", ""subway_id"": ""1019"", ""city_id"": ""11"", ""distance"": ""621米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""14号线"", ""station_name"": ""大世界"", ""distance_raw"": ""621""}, {""id"": ""7195269"", ""loupan_id"": ""517877"", ""station_id"": ""2893"", ""subway_id"": ""54"", ""city_id"": ""11"", ""distance"": ""678米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""10号线"", ""station_name"": ""豫园"", ""distance_raw"": ""678""}, {""id"": ""7195287"", ""loupan_id"": ""517877"", ""station_id"": ""10377"", ""subway_id"": ""1019"", ""city_id"": ""11"", ""distance"": ""717米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""14号线"", ""station_name"": ""豫园"", ""distance_raw"": ""717""}, {""id"": ""7195307"", ""loupan_id"": ""517877"", ""station_id"": ""3213"", ""subway_id"": ""66"", ""city_id"": ""11"", ""distance"": ""1129米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""人民广场"", ""distance_raw"": ""1129""}, {""id"": ""7195289"", ""loupan_id"": ""517877"", ""station_id"": ""3028"", ""subway_id"": ""59"", ""city_id"": ""11"", ""distance"": ""1189米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""人民广场"", ""distance_raw"": ""1189""}, {""id"": ""7195294"", ""loupan_id"": ""517877"", ""station_id"": ""3058"", ""subway_id"": ""60"", ""city_id"": ""11"", ""distance"": ""1229米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""南京东路"", ""distance_raw"": ""1229""}, {""id"": ""7195268"", ""loupan_id"": ""517877"", ""station_id"": ""2892"", ""subway_id"": ""54"", ""city_id"": ""11"", ""distance"": ""1349米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""10号线"", ""station_name"": ""南京东路"", ""distance_raw"": ""1349""}, {""id"": ""7195291"", ""loupan_id"": ""517877"", ""station_id"": ""3059"", ""subway_id"": ""60"", ""city_id"": ""11"", ""distance"": ""1411米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""人民广场"", ""distance_raw"": ""1411""}, {""id"": ""7242485"", ""loupan_id"": ""517877"", ""station_id"": ""10355"", ""subway_id"": ""1019"", ""city_id"": ""11"", ""distance"": ""1454米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""14号线"", ""station_name"": ""一大会址·黄陂南路"", ""distance_raw"": ""1454""}]",
1486518,龙华庭B区,上海,11,静安区,2,西藏北路,119,上海静安区西藏北路曲阜路966弄（近西藏北路路口）,内环内,,,,,,6820m²,[],,,1996-09-21,,1996年,1997年,[],{},,50年,,,,,,临街店铺,合景悠活,19.2元/㎡/月,,428,,售罄,售罄,售罄,[],[],滨江集团,,,商电,商水,31.243535,121.475468,"{""service_num"": ""4006708287"", ""num"": """"}","{""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""66"": ""公园"", ""64"": ""购物中心""}","[""内环内"", ""配套纯熟"", ""便利店"", ""银行"", ""公园""]",https://pic4.ajkimg.com/display/xinfang/88d8c7aad11b08458a2c4ed1a0450d09/275x206n.jpg,[],静安区曲阜路966弄（近西藏北路路口）
8566794,鑫黄金豪庭,上海,11,宝山区,13,淞南,129,上海宝山区淞南淞良路29号(近淞塘路),中外环,,,,88-140㎡,53665m²,48000m²,"[{""id"": 136838, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 147498, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 140}]",2/3室,"2室户型,3室户型",1996-05-11,,1996年,1997年,[],小高层,高层,,,,503,,,住宅,万科物业,3.2元/㎡/月,,603,1:1.2,售罄,售罄,售罄,"[""宝山房地(2008)预字0684号"", ""宝山房地(2009)预字0099号"", ""宝山房管(2009)预字0931号"", ""沪房地宝字2010第041467号"", ""宝山房管(2015)预字0000280号""]",[],中梁,,上海浦东新区房地产(集团)有限公司,民电,民水,31.341624,121.498131,"""""","{""56"": ""车位充足"", ""13"": ""中外环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""中外环"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/e105e3ab655dcf8daeaf3065955e1fd3/275x206n.jpg,[],宝山区淞良路29号
2833997,嘉佰碧水名苑,上海,11,徐汇区,5,徐家汇,41,上海徐汇区徐家汇东安路和零陵路交汇,内环内,,,,,25179m²,106034.61m²,[],,,1996-03-28,2026年1季度,1996年,1997年,[],{高层},高层,70年,4.35,35%,206,带装修,在建中，竣工时间：暂无数据,住宅,华润万象生活,,,636,,售罄,售罄,售罄,[],[],碧桂园,,,民电,民水,31.18688,121.448747,"{""service_num"": ""4006708287"", ""num"": ""62336""}","{""29"": ""装修交付"", ""11"": ""内环内"", ""9"": ""轨交房"", ""7"": ""项目在建"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""92"": ""热搜盘"", ""91"": ""热评楼盘"", ""90"": ""人气楼盘"", ""641"": ""寄宿制中学"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""600"": ""市级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""540"": ""日照模拟"", ""55"": ""小型社区""}","[""装修交付"", ""内环内"", ""轨交房"", ""项目在建"", ""多轨交""]",https://pic4.ajkimg.com/display/xinfang/b6dab6c90c77fd167e239db9d52d0bbd/275x206n.jpg,"[{""id"": ""7327775"", ""loupan_id"": ""533285"", ""station_id"": ""3176"", ""subway_id"": ""65"", ""city_id"": ""11"", ""distance"": ""307米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""东安路"", ""distance_raw"": ""307""}, {""id"": ""7327780"", ""loupan_id"": ""533285"", ""station_id"": ""3102"", ""subway_id"": ""62"", ""city_id"": ""11"", ""distance"": ""307米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""东安路"", ""distance_raw"": ""307""}, {""id"": ""7327786"", ""loupan_id"": ""533285"", ""station_id"": ""2959"", ""subway_id"": ""56"", ""city_id"": ""11"", ""distance"": ""713米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""12号线"", ""station_name"": ""龙华中路"", ""distance_raw"": ""713""}, {""id"": ""7327776"", ""loupan_id"": ""533285"", ""station_id"": ""3175"", ""subway_id"": ""65"", ""city_id"": ""11"", ""distance"": ""724米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""龙华中路"", ""distance_raw"": ""724""}, {""id"": ""7327779"", ""loupan_id"": ""533285"", ""station_id"": ""3103"", ""subway_id"": ""62"", ""city_id"": ""11"", ""distance"": ""1221米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""大木桥路"", ""distance_raw"": ""1221""}, {""id"": ""7327784"", ""loupan_id"": ""533285"", ""station_id"": ""2960"", ""subway_id"": ""56"", ""city_id"": ""11"", ""distance"": ""1221米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""12号线"", ""station_name"": ""大木桥路"", ""distance_raw"": ""1221""}, {""id"": ""7327778"", ""loupan_id"": ""533285"", ""station_id"": ""3101"", ""subway_id"": ""62"", ""city_id"": ""11"", ""distance"": ""1280米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""上海体育场"", ""distance_raw"": ""1280""}, {""id"": ""7327777"", ""loupan_id"": ""533285"", ""station_id"": ""3177"", ""subway_id"": ""65"", ""city_id"": ""11"", ""distance"": ""1304米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""肇嘉浜路"", ""distance_raw"": ""1304""}, {""id"": ""7327781"", ""loupan_id"": ""533285"", ""station_id"": ""121444"", ""subway_id"": ""12078"", ""city_id"": ""11"", ""distance"": ""1381米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""23号线"", ""station_name"": ""上海体育场"", ""distance_raw"": ""1381""}, {""id"": ""7327783"", ""loupan_id"": ""533285"", ""station_id"": ""3236"", ""subway_id"": ""67"", ""city_id"": ""11"", ""distance"": ""1469米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""9号线"", ""station_name"": ""肇嘉浜路"", ""distance_raw"": ""1469""}]",
2251947,新家A区,上海,11,嘉定区,14,嘉定新城,137,上海嘉定区嘉定新城希望路260弄,郊环外,,,,88-126㎡,58949m²,164395.29m²,"[{""id"": 391301, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 234974, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 234977, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117}, {""id"": 234981, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 126}]",2/3室,"2室户型,3室户型",1996-07-14,,1996年,1997年,"[""2017-01-14"", ""2018-11-17""]","{小高层,高层}",小高层、高层,70年,2,35%,676,简装修,,住宅,旭辉永升,3.2元/㎡/月,,1259,1:1.9,售罄,售罄,售罄,"[""嘉定房管(2017)预字0000005号"", ""嘉定房管(2018)预字0000372号""]","[""2#、3#、7#、8#、9#、13#、16#"", ""1#、4#、5#、6#、10#、11#、12#、14#、15#""]",招商蛇口,上实发展,上海实业发展股份有限公司,民电,民水,31.335212,121.282989,"{""service_num"": ""4006708287"", ""num"": """"}","{""56"": ""车位充足"", ""29"": ""装修交付"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""16"": ""郊环外"", ""66"": ""公园"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""车位充足"", ""装修交付"", ""厨卫全明"", ""南北通透"", ""卧室全朝南""]",https://pic4.ajkimg.com/display/xinfang/79f72f7b4b2e5a3eda70e5ef95e17d94/275x206n.jpg,[],伊宁路与裕民南路交汇处 嘉定区伊宁路与裕民南路交汇处
1132780,新半岛雅居,上海,11,杨浦区,9,五角场,88,上海杨浦区五角场市光路696弄,中外环,9874元/㎡,9874元/㎡,首付120万，月供28853元,99-124㎡,7458.94m²,18060.74m²,"[{""id"": 847120, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 99}, {""id"": 847121, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 124}]",3/4室,"3室户型,4室户型",1996-06-12,2024年10月30日,1996年,1997年,"[""2024-10-21""]",超高层,,,,,,,在建中，竣工时间：暂无数据,住宅,合景悠活,,,,,售罄,售罄,售罄,"[""杨浦房管(2024)预字0000310号""]","[""2#、1#""]",朗诗,越秀地产,,民电,民水,31.332927,121.530791,"{""service_num"": ""4006708287"", ""num"": ""108966""}","{""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""7"": ""项目在建"", ""10"": ""多轨交"", ""13"": ""中外环"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""90"": ""人气楼盘"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""轨交房"", ""厨卫全明"", ""南北通透"", ""卧室全朝南"", ""项目在建""]",https://pic4.ajkimg.com/display/xinfang/9896a9c4835ee7e8cef274e552c55680/275x206n.jpg,"[{""id"": ""7292412"", ""loupan_id"": ""526807"", ""station_id"": ""3227"", ""subway_id"": ""66"", ""city_id"": ""11"", ""distance"": ""1046米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""市光路"", ""distance_raw"": ""1046""}, {""id"": ""7292421"", ""loupan_id"": ""526807"", ""station_id"": ""121418"", ""subway_id"": ""12075"", ""city_id"": ""11"", ""distance"": ""1240米"", ""status"": ""1"", ""last_update_time"": ""1774209761"", ""is_rail_loupan"": ""1"", ""subway_name"": ""20号线"", ""station_name"": ""国和路"", ""distance_raw"": ""1240""}]",杨浦区闸殷路1599路国华广场B区
3095484,远中玉兰园,上海,11,静安区,2,南京西路,21,上海静安区南京西路昌化路26号,内环内,,,,101-291㎡,住宅：35000m² 别墅：35000m²,住宅：100000m² 别墅：100000m²,"[{""id"": 4648, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 101}, {""id"": 4647, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 134}, {""id"": 4646, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 166.68}, {""id"": 108767, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 291}]",2/3/4室,"2室户型,3室户型,4室户型",1996-02-26,,1996年,1997年,[],"{小高层,双拼别墅}",住宅：小高层 别墅：双拼别墅,住宅：70年 别墅：70年,住宅：2.5 别墅：2.5,住宅：40% 别墅：40%,住宅：430 别墅：430,"住宅：毛坯,带装修 别墅：毛坯,带装修",,住宅,招商积余,住宅：4.3元/㎡/月,,住宅：581 别墅：581,住宅：1:0.6 别墅：1:0.6,售罄,售罄,售罄,[],[],金茂,,远雄企业团,住宅：民电,住宅：民水,31.253304,121.464866,"""""","{""53"": ""高绿化率"", ""29"": ""装修交付"", ""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""高绿化率"", ""装修交付"", ""内环内"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/55480ee48bdef4268eb8201e9a27d336/275x206n.jpg,[],上海市静安区昌化路26号
7773299,中家园B区,上海,11,嘉定区,14,江桥,139,上海嘉定区江桥海波路1211弄,外郊环,5949元/㎡,5949元/㎡,首付58万，月供14626元,70-130㎡,40330.69m²,129862.8m²,"[{""id"": 721569, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 70}, {""id"": 685728, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 96}, {""id"": 685729, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 96}, {""id"": 685727, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 125}]",2/3/4室,"2室户型,3室户型,4室户型",1996-12-21,2021年11月23日,1996年,1997年,"[""2021-10-20"", ""2021-06-09""]",{高层},高层,70年,2.2,35%,732,带装修,,住宅,新城悦服务,5.5~6.6元/㎡/月,,1147,1:1.56,售罄,售罄,售罄,"[""嘉定房管（2021）预字0000293号"", ""嘉定房管（2021）预字0000160号""]","[""2#、5#、7#、8#、11#"", ""1#、4#、6#、9#、10#""]",中铁建,南山控股,上海南茂实业发展有限公司,民电,民水,31.291858,121.323128,"""""","{""56"": ""车位充足"", ""29"": ""装修交付"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""15"": ""外郊环"", ""32"": ""绿色住宅"", ""79"": ""小户型"", ""78"": ""大户型"", ""407"": ""主卧朝南"", ""406"": ""客厅朝南"", ""404"": ""客餐厅相连"", ""403"": ""私密性好"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""263"": ""VR看房"", ""130"": ""虹桥商务区"", ""98"": ""改善置业"", ""97"": ""刚需直选"", ""50"": ""品牌开发商""}","[""车位充足"", ""装修交付"", ""厨卫全明"", ""南北通透"", ""外郊环""]",https://pic4.ajkimg.com/display/xinfang/13a598fafde5619e0f3a845226c89e79/275x206n.jpg,[],上海市嘉定区海波路1209号
