楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
3734621,绿城碧水新村,三亚,51,五指山,4926,五指山,4974,三亚五指山五指山三月三大道与河南东路交汇处西侧,,3110元/㎡,3110元/㎡,,100-120㎡,200000m²,246000m²,"[{""id"": 859617, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 100}, {""id"": 859618, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 120}, {""id"": 859619, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 120}]",2/3室,"2室户型,3室户型",1998-01-22,2024年12月28日,1998年,1999年,"[""2024-12-11""]",{小高层},小高层,70年,1,,,带装修,,住宅,龙湖智慧服务,33.5元/㎡/月,,440,1:1,售罄,售罄,售罄,"[""海-五-202412004874""]",[],远洋,,,民电,民水,18.767608,109.558919,"""""","{""52"": ""低容积"", ""29"": ""装修交付"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""55"": ""小型社区""}","[""低容积"", ""装修交付"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/b6354ea8e3b71a60f4c5775144510266/275x206n.jpg,[],五指山市三月三大道与河南东路交汇处西侧
3049234,新翠苑二期,三亚,51,乐东,4917,龙栖湾,5084,三亚乐东龙栖湾龙栖湾国际旅游度假区，海榆西线旁抱旺出口,,,,,33-74㎡,14000m²,52000m²,"[{""id"": 64099, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 32.91}, {""id"": 64097, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 36.27}, {""id"": 64101, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 36.81}, {""id"": 64096, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 42.81}, {""id"": 64102, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 54.11}, {""id"": 64100, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 55.41}, {""id"": 64098, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 73.57}]",1/2室,"1室户型,2室户型",1998-08-12,,1998年,1999年,[],{小高层},小高层,70年,3.5,40%,1071,简装修,,住宅,碧桂园服务,1.6元/㎡/月,,181,1:0.1,售罄,售罄,售罄,"[""[2012]万房预字（18）号""]",[],金茂,,,民电,民水,18.464936,108.920722,"""""","{""53"": ""高绿化率"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型""}","[""高绿化率"", ""装修交付"", ""旅游地产"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/9376b44578c80ded9d3aa9fb067c4a9b/275x206n.jpg,[],三亚市红旗街口18号（福乐多购物广场一楼）；三亚市明珠广场三楼（福乐多超市出口）
9690104,中梅林豪庭,三亚,51,天涯区,10251,三亚湾,4932,三亚天涯区三亚湾中海路,,,,,85-88㎡,14219m²,45943m²,"[{""id"": 415309, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 105109, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85.12}, {""id"": 90689, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}]",2室,2室户型,1998-03-13,,1998年,1999年,"[""2016-01-26"", ""2013-10-10""]",洋房,小高层、高层,70年,2.5,35%,413,毛坯,,住宅,保利物业,4.3元/㎡/月,,434,1:1.1,售罄,售罄,售罄,"[""三房预许字[2016]10号"", ""三房预许字[2013]27号""]","[""1#、2#"", ""1#、3#""]",中梁,,三亚益乐嘉房地产开发有限公司,民电,民水,18.298135,109.451322,"""""","{""56"": ""车位充足"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街""}","[""车位充足"", ""配套纯熟"", ""银行"", ""学校"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/2adf4f37501c6a4935b5b9f133a0ef08/275x206n.jpg,[],三亚市三亚湾路海坡开发区
3609517,碧桂黄金家园,三亚,51,海棠区,10252,海棠湾,4938,三亚海棠区海棠湾海南·海棠湾土福出口北侧约500米,,5598元/㎡,5598元/㎡,首付33万，月供7884元,101-145㎡,住宅：463333.33m² 别墅：463333.33m²,住宅：660000m² 别墅：660000m²,"[{""id"": 417325, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 101}, {""id"": 417312, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 102}, {""id"": 417314, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 107}, {""id"": 417313, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 126}, {""id"": 417327, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 133}, {""id"": 417330, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 145}, {""id"": 417333, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 145}, {""id"": 417339, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 145}, {""id"": 417340, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 145}]",3/4室、别墅,"3室户型,4室户型,别墅户型",1998-12-19,2022年05月08日,1998年,1999年,"[""2021-06-04"", ""2021-10-13"", ""2019-09-27"", ""2019-09-26"", ""2022-04-28"", ""2019-03-28""]",{花园洋房},住宅：花园洋房 别墅：叠加别墅,住宅：70年 别墅：70年,住宅：1.7 别墅：1.7,住宅：40% 别墅：40%,住宅：6270 别墅：6270,住宅：带装修 别墅：带装修,已封顶，竣工时间：2025-06-30,住宅,碧桂园服务,住宅：5元/㎡/月 别墅：8元/㎡/月,,住宅：1338 别墅：1338,住宅：0.61:1 别墅：0.61:1,售罄,售罄,售罄,"[""4690282019012502301-2"", ""4690282019053007001-1"", ""商品房预售许可证 20190025"", ""商品房预售许可证 20190026"", ""4690282019053007001-4号"", ""陵房预许字【2019】第0012号""]","[""二期16#、二期15#、二期36#、二期28#、二期26#、二期35#、二期6#"", ""二期27#"", ""3#"", ""1#、2#"", ""41#、43#"", ""二期17#""]",中梁,碧桂园集团,碧桂园集团,住宅：民电,住宅：民水,18.40504,109.812999,"""""","{""559"": ""现房"", ""81"": ""大阳台"", ""56"": ""车位充足"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""8"": ""项目封顶"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""5"": ""低单价"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""86"": ""全景飘窗"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""82"": ""双卫生间"", ""263"": ""VR看房"", ""54"": ""大型社区"", ""50"": ""品牌开发商""}","[""现房"", ""大阳台"", ""车位充足"", ""高绿化率"", ""低容积""]",https://pic4.ajkimg.com/display/xinfang/b6a96561ff87ff42c19dc9fd38ec21f4/275x206n.jpg,[],海南·海棠湾土福出口北侧约500米
5358740,绿花园,三亚,51,保亭,4927,保亭,4975,三亚保亭保亭新政镇镇中心小学旁,,3110元/㎡,3110元/㎡,首付14万，月供3476元,65-194㎡,104666.67m²,180830.41m²,"[{""id"": 794351, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 64.97}, {""id"": 794348, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 82.09}, {""id"": 794347, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 111.66}, {""id"": 794375, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 158.1}, {""id"": 794374, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 179.69}, {""id"": 794365, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 182.15}, {""id"": 794372, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 194.44}]",1/2/3室,"1室户型,2室户型,3室户型",1998-11-10,2023年01月08日,1998年,1999年,"[""2022-09-28""]",超高层,花园洋房,70年,1.5,45%,1486,带装修,已封顶，竣工时间：暂无数据,住宅,金地智慧服务,2.6元/㎡/月,,773,,售罄,售罄,售罄,"[""保房预字第（2022）0007号""]","[""12#、15#、16#、18#、19#、44#、40#、41#""]",金地,,,民电,民水,18.542177,109.635234,"{""service_num"": ""4006708287"", ""num"": ""63282""}","{""559"": ""现房"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""8"": ""项目封顶"", ""5"": ""低单价"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""79"": ""小户型"", ""78"": ""大户型""}","[""现房"", ""高绿化率"", ""低容积"", ""装修交付"", ""项目封顶""]",https://pic4.ajkimg.com/display/xinfang/480dfecf36a438ed09d506c2ebe6a9fb/275x206n.jpg,[],海南省保亭县新政镇镇中心小学旁悦溪山庄营销中心
4151508,金理想里,三亚,51,崖州区,10253,崖州湾,10257,三亚崖州区崖州湾科技城甘农大道南侧,,2654元/㎡,2654元/㎡,,100㎡,58700m²,186000m²,"[{""id"": 820655, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}, {""id"": 820656, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}]",3室,3室户型,1998-11-03,2022年06月01日,1998年,1999年,"[""2022-07-29""]",{},,,,,,,已竣工，竣工时间：2022-12-31,住宅,世茂服务,,,,,售罄,售罄,售罄,"[""现房[2022]3号""]","[""2#、1#、5#、3#、7#、6#、9#、8#、11#、10#""]",绿城,保利集团,,民电,民水,18.367704,109.167216,"{""service_num"": ""4006708287"", ""num"": ""102405""}","{""559"": ""现房"", ""557"": ""项目竣工"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""596"": ""安居房"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/37083e91ea21a6bea6c6f523dafca07f/275x206n.jpg,[],三亚崖州湾科技城甘农大道南侧
4974135,龙栖金色宅,三亚,51,乐东,4917,龙栖湾,5084,三亚乐东龙栖湾九所新区龙湖大道东侧,,,,,49-64㎡,2267.98m²,3613.79m²,"[{""id"": 147076, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 48.58}, {""id"": 147077, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 64.39}]",1/2室,"1室户型,2室户型",1998-01-11,,1998年,1999年,[],{花园洋房},花园洋房,70年,,,59,,,住宅,世茂服务,2.5元/㎡/月,,32,1:0.62,售罄,售罄,售罄,[],[],正荣,,海南盛和海业房地产开发有限公司,民电,民水,18.441668,108.959792,"""""","{""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""79"": ""小户型"", ""55"": ""小型社区""}","[""配套纯熟"", ""银行"", ""学校"", ""医院"", ""商业街""]",https://pic4.ajkimg.com/display/xinfang/f7bd739bed1377c3c9ee413158b9bcc7/275x206n.jpg,[],海南·龙栖湾九所南区西二横路龙栖湾盛和公馆营销中心
1732566,凤雅居二期,三亚,51,万宁,4918,兴隆,5090,三亚万宁兴隆兴梅大道1号,,2903元/㎡,2903元/㎡,首付14万，月供3548元,76-172㎡,住宅：3333333.33m²,住宅：826666.67m²,"[{""id"": 689353, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76}, {""id"": 860716, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76}, {""id"": 860783, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76}, {""id"": 860786, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 84}, {""id"": 689371, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 860787, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 689354, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 860784, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 689373, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 98}, {""id"": 860788, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 98}, {""id"": 860739, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 138}, {""id"": 860789, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 143}, {""id"": 860746, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 172}]",2/3/4室,"2室户型,3室户型,4室户型",1998-04-01,2018年07月02日,1998年,1999年,"[""2018-06-30"", ""2010-03-03"", ""2010-03-03"", ""2012-04-24"", ""2017-12-27"", ""2009-12-22""]",别墅,住宅：花园洋房 别墅：独栋别墅,住宅：70年 别墅：70年,住宅：0.8 别墅：0.3,住宅：60% 别墅：60%,住宅：10699,住宅：毛坯,已竣工，竣工时间：2019-09-30,住宅,万科物业,住宅：4.7元/㎡/月,,住宅：8000,住宅：1：0.8,售罄,售罄,售罄,"[""万行审现备字(2020)4号"", ""万行审现备字(2020)2号"", ""万行审现备字(2020)3号"", ""万行审现备字(2021)1号"", ""〔2018〕万房预字（22）号"", ""(2010)万房预字(04)号"", ""(2009)万房预字(027)号"", ""（2012）万房预字（延24）号"", ""（2017）万房预字（60）号"", ""(2009)万房预字(05)号""]","[""29#、9#、24#"", ""17# 19# 21#"", ""29# 30# 31# 32# 33# 34# 35# 37#"", ""12# 14# 9#"", ""2# 3# 4# 5# 60#"", ""A区公寓 B区别墅 C区别墅""]",滨江集团,,世嘉控股集团（杭州）有限公司,住宅：民电,住宅：民水,18.678428,110.256067,"{""service_num"": ""4006708287"", ""num"": ""15622""}","{""559"": ""现房"", ""557"": ""项目竣工"", ""81"": ""大阳台"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""5"": ""低单价"", ""4"": ""低总价"", ""63"": ""旅游地产"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""86"": ""全景飘窗"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""82"": ""双卫生间"", ""90"": ""人气楼盘"", ""263"": ""VR看房"", ""54"": ""大型社区"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""大阳台"", ""高绿化率"", ""低容积""]",https://pic4.ajkimg.com/display/xinfang/dee2a3df4fcc47f9c7825cd0e85bbeca/275x206n.jpg,[],海南省万宁市兴隆石梅湾兴梅大道1号
5129162,鑫翠竹丽景,三亚,51,乐东,4917,龙栖湾,5084,三亚乐东龙栖湾龙栖湾旅游度假区,,3317元/㎡,3317元/㎡,首付22万，月供5375元,104-244㎡,住宅：204601.98m² 别墅：204601.98m²,住宅：400000m² 别墅：400000m²,"[{""id"": 640727, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 104}, {""id"": 640723, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 106}, {""id"": 640725, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 106}, {""id"": 640728, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 110}, {""id"": 827839, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 122}, {""id"": 875773, ""rooms"": 7, ""room_alias"": ""七室"", ""area"": 244}]",3室、别墅,"3室户型,别墅户型",1998-05-21,2022年04月30日,1998年,1999年,"[""2022-04-30"", ""2021-07-30"", ""2020-10-26"", ""2020-03-04""]",小高层,住宅：低层、高层,住宅：70年 别墅：70年,住宅：2 别墅：2,住宅：40% 别墅：40%,住宅：4012 别墅：4012,住宅：带装修 别墅：带装修,已竣工，竣工时间：2024-12-31,住宅,融创服务,住宅：3.98元/㎡/月,,住宅：2585 别墅：2585,,售罄,售罄,售罄,"[""乐房售证字（2022）003号"", ""乐房售证字（2021）011号"", ""乐房售证字（2020）005号"", ""乐房售证字（2020）001号""]","[""15#、20#"", ""2#、5#、43#、45#"", ""6#、7#、8#、10#、12#、13#、14#"", ""9#、11#""]",华润,海南中城投置业有限公司,清凤集团,住宅：民电,住宅：民水,18.393824,108.989515,"""""","{""559"": ""现房"", ""557"": ""项目竣工"", ""81"": ""大阳台"", ""53"": ""高绿化率"", ""29"": ""装修交付"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""5"": ""低单价"", ""4"": ""低总价"", ""60"": ""海景地产"", ""78"": ""大户型"", ""404"": ""客餐厅相连"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""90"": ""人气楼盘"", ""263"": ""VR看房"", ""54"": ""大型社区"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""大阳台"", ""高绿化率"", ""装修交付""]",https://pic4.ajkimg.com/display/xinfang/e4a6005c801e22dcf98bee14965597be/275x206n.jpg,[],乐东县九所镇龙栖湾滨海旅游度假区
1159569,吉祥桃源洲,三亚,51,天涯区,10251,凤凰镇,23661,三亚天涯区凤凰镇三亚市天涯区凤凰镇新居村路吉祥16号,,8087元/㎡,8087元/㎡,首付67万，月供16126元,130-229㎡,38322.87m²,132439.69m²,"[{""id"": 837245, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 130}, {""id"": 837273, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 190}, {""id"": 837275, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 199}, {""id"": 837279, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 229}, {""id"": 837269, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 143}]",2/3/4室,"2室户型,3室户型,4室户型",1998-10-23,2025年01月01日,1998年,1999年,"[""2025-04-29"", ""2024-12-23""]",多层,,70年,2.5,40%,649,带装修,,住宅,龙湖智慧服务,5.98元/㎡/月,,841,1:1.3,售罄,售罄,售罄,"[""XSSY2025042900086"", ""XSSY2024122300061""]","[""1#、3#、2#、5#、4#"", ""10#、11#、8#、9#、6#、7#、12#、13#""]",保利,吉祥置业,海南吉祥置业有限公司,民电,民水,18.292666,109.477371,"{""service_num"": ""4006708287"", ""num"": ""107035""}","{""723"": ""第四代住宅"", ""56"": ""车位充足"", ""53"": ""高绿化率"", ""31"": ""大平层"", ""29"": ""装修交付"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""60"": ""海景地产"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""403"": ""私密性好"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""90"": ""人气楼盘"", ""744"": ""好房子"", ""541"": ""3D沙盘"", ""540"": ""日照模拟"", ""280"": ""商圈热盘"", ""279"": ""品质好房"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""第四代住宅"", ""车位充足"", ""高绿化率"", ""大平层"", ""装修交付""]",https://pic4.ajkimg.com/display/xinfang/f8ed97d2b2e030d3de5cd4c36abccd19/275x206n.jpg,[],三亚市天涯区凤凰镇新居村路吉祥16号营销中心
