楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
8473031,贺田西岸苑,杭州,18,滨江区,1806,一桥南,4583,"杭州滨江区一桥南六和路365号(六和路上,六和塔正对面)",,,,,137-186㎡,157m²,296m²,"[{""id"": 17393, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 137}, {""id"": 17390, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 138}, {""id"": 54484, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 141}, {""id"": 17391, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 167}, {""id"": 17392, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 186}]",3/4室,"3室户型,4室户型",1998-01-14,,1998年,1999年,[],"{多层,小高层}",多层、小高层,70年,1.63,30%,1850,毛坯,,住宅,招商积余,1.45元/㎡/月,,1300,1:1,售罄,售罄,售罄,[],[],金地,,浙江贺田投资管理有限公司,民电,民水,30.19717,120.141743,"{""service_num"": ""4006708287"", ""num"": ""46311""}","{""57"": ""人车分流"", ""52"": ""低容积"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""10"": ""多轨交"", ""5"": ""低单价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""90"": ""人气楼盘"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""263"": ""VR看房"", ""54"": ""大型社区""}","[""人车分流"", ""低容积"", ""轨交房"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/6c66780fd496c0f315075803df0b02cd/275x206n.jpg,"[{""id"": ""7212899"", ""loupan_id"": ""238904"", ""station_id"": ""4821"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""1435米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""中医药大学"", ""distance_raw"": ""1435""}, {""id"": ""7254731"", ""loupan_id"": ""238904"", ""station_id"": ""120857"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""1487米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""中医药大学站"", ""distance_raw"": ""1487""}]",滨江区六和路365号
5641990,绿美景B区,杭州,18,下城,1805,其他,10138,杭州下城其他长浜路（原东新东路）与安桥路交叉口,,,,,27-35㎡,23619m²,217600m²,"[{""id"": 175647, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 27}, {""id"": 175650, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 35}]",1室,商业户型,1998-11-13,,1998年,1999年,[],{高层},高层,40年,6.35,10%,,"毛坯,带装修",,商业,中海物业,1元/㎡/月,,,1:1,售罄,售罄,售罄,[],[],朗诗,,华盛达控股集团,商电,商水,30.327654,120.182253,"""""","{""29"": ""装修交付"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心""}","[""装修交付"", ""轨交房"", ""多轨交"", ""配套纯熟"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/495aab3143b921642dfcdbd8c031a2f6/275x206n.jpg,"[{""id"": ""7213445"", ""loupan_id"": ""411052"", ""station_id"": ""10219"", ""subway_id"": ""1010"", ""city_id"": ""18"", ""distance"": ""533米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""新天地街"", ""distance_raw"": ""533""}, {""id"": ""7214522"", ""loupan_id"": ""411052"", ""station_id"": ""120450"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""533米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""新天地街"", ""distance_raw"": ""533""}]",下城区长浜路（原东新东路）与安桥路交叉口
2541245,华银河府,杭州,18,上城区,1802,钱江新城,1845,杭州上城区钱江新城凤起东路与潮声路交会处,,9456元/㎡,9478元/㎡,,210-340㎡,24272m²,60680m²,"[{""id"": 879013, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 210}, {""id"": 882863, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 285}, {""id"": 882865, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 326}, {""id"": 882864, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 340}, {""id"": 876186, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 239}, {""id"": 875855, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 265}, {""id"": 875854, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 268}]",4/5室,"4室户型,5室户型",1998-07-19,2026年01月26日,1998年,1999年,"[""2026-03-23"", ""2026-01-19"", ""2025-12-23"", ""2025-11-10""]",{},,70年,2.5,,,,在建中，竣工时间：2027-10-31,住宅,万科物业,,,,,售罄,售罄,售罄,"[""杭房预许字（2026）第00177号"", ""杭房预许字(2026)第00039号"", ""杭房预许字（2025）第00662号"", ""杭房预许字（2025）第00526号""]","[""6#、9#"", ""10#"", ""7#、3#"", ""1#、2#""]",金地,"滨江集团,招商蛇口",,民电,民水,30.287878,120.266581,"{""service_num"": ""4006708287"", ""num"": ""34293""}","{""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""7"": ""项目在建"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""91"": ""热评楼盘"", ""90"": ""人气楼盘"", ""744"": ""好房子"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""540"": ""日照模拟"", ""421"": ""无需摇号"", ""263"": ""VR看房"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""轨交房"", ""厨卫全明"", ""南北通透"", ""卧室全朝南"", ""项目在建""]",https://pic4.ajkimg.com/display/xinfang/c0bce5614533e0c577969dd4b97e01d9/275x206n.jpg,"[{""id"": ""7307727"", ""loupan_id"": ""530819"", ""station_id"": ""120824"", ""subway_id"": ""12055"", ""city_id"": ""18"", ""distance"": ""379米"", ""status"": ""1"", ""last_update_time"": ""1774211226"", ""is_rail_loupan"": ""1"", ""subway_name"": ""9号线"", ""station_name"": ""红普南路站"", ""distance_raw"": ""379""}, {""id"": ""7307728"", ""loupan_id"": ""530819"", ""station_id"": ""120822"", ""subway_id"": ""12055"", ""city_id"": ""18"", ""distance"": ""1393米"", ""status"": ""1"", ""last_update_time"": ""1774211226"", ""is_rail_loupan"": ""1"", ""subway_name"": ""9号线"", ""station_name"": ""六堡站"", ""distance_raw"": ""1393""}]",杭州市上城区凤起东路与潮声路交会处
1459260,龙湖翠竹景,杭州,18,滨江区,1806,西兴,1915,杭州滨江区西兴杭州市滨江区江南大道与江虹路交叉口,,,,,90-168㎡,128383m²,600000m²,"[{""id"": 104912, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 104913, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 104914, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 138}, {""id"": 104915, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 138}, {""id"": 104916, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 168}]",3/4室,"3室户型,4室户型",1998-06-14,,1998年,1999年,[],{高层},高层,70年,2.96,30%,1685,毛坯,,住宅,万科物业,2.9元/㎡/月,,1803,1:1,售罄,售罄,售罄,[],[],绿城,,龙湖集团,民电,民水,30.214323,120.212417,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""54"": ""大型社区""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/d7a278b99185561e98ddd07ab7756dbe/275x206n.jpg,"[{""id"": ""7266968"", ""loupan_id"": ""251752"", ""station_id"": ""122157"", ""subway_id"": ""12111"", ""city_id"": ""18"", ""distance"": ""527米"", ""status"": ""1"", ""last_update_time"": ""1774211230"", ""is_rail_loupan"": ""1"", ""subway_name"": ""18号线"", ""station_name"": ""江汉路站"", ""distance_raw"": ""527""}, {""id"": ""7254749"", ""loupan_id"": ""251752"", ""station_id"": ""120852"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""558米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""江汉路站"", ""distance_raw"": ""558""}, {""id"": ""7330082"", ""loupan_id"": ""251752"", ""station_id"": ""120853"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""1074米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""长河站"", ""distance_raw"": ""1074""}, {""id"": ""7213876"", ""loupan_id"": ""251752"", ""station_id"": ""4850"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""1124米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""长河"", ""distance_raw"": ""1124""}]",杭州大厦C座、湖滨银泰A座一楼已设置外展点
6185319,宏新村,杭州,18,拱墅区,1801,桃源,4578,杭州拱墅区桃源沈半路与永祥街交叉口桃源新区,,,,,72-132㎡,57000m²,200000m²,"[{""id"": 109209, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 72}, {""id"": 107601, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 107604, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 111530, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 132}]",2/3/4室,"2室户型,3室户型,4室户型",1998-12-17,,1998年,1999年,[],洋房,高层,70年,2.8,30%,1580,毛坯,,住宅,融创服务,2.25元/㎡/月,,1300,0.83,售罄,售罄,售罄,"[""杭售许字(2015)第000093号"", ""杭售许字(2015)第000042号"", ""杭售许字(2014)第000142号"", ""杭售许字(2014)第000118号""]",[],中南,,宋都股份,民电,民水,30.34767,120.191717,"""""","{""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""54"": ""大型社区""}","[""轨交房"", ""配套纯熟"", ""便利店"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/2b727bef5065d4e89614c583933e32b2/275x206n.jpg,"[{""id"": ""7214662"", ""loupan_id"": ""251097"", ""station_id"": ""120452"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""797米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""桃源街"", ""distance_raw"": ""797""}, {""id"": ""7214660"", ""loupan_id"": ""251097"", ""station_id"": ""120448"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""1367米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""吴家角港"", ""distance_raw"": ""1367""}]",项目现场东南角商铺（10号楼底商）处
6977688,泰阳光邸,杭州,18,钱塘区,20267,江东新城,20272,杭州钱塘区江东新城河景路与府东路交叉路口往东南约100米(河庄形象城东北侧约50米),,3540元/㎡,3540元/㎡,首付27万，月供6636元,80-139㎡,29433.8m²,138800m²,"[{""id"": 183030, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 80.16}, {""id"": 176930, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 86.51}, {""id"": 176929, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 87.57}, {""id"": 183036, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 111.17}, {""id"": 183029, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 114.69}, {""id"": 183042, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 122.8}, {""id"": 183038, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 124.09}, {""id"": 183032, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 131.28}]",2/3/4室,"2室户型,3室户型,4室户型",1998-09-17,2024年01月17日,1998年,1999年,"[""2024-01-08"", ""2016-09-28"", ""2016-05-25""]",多层,高层,70年,3,30%,850,毛坯,已竣工，竣工时间：暂无数据,住宅,绿城服务,2.5元/㎡/月,,835,1:1,售罄,售罄,售罄,"[""杭房现备字（2024）第00001号"", ""杭售许字(2016)第008020号"", ""杭售许字(2016)第008011号""]","[""10#、2#、3#、4#"", ""6#、9#"", ""1#、7#、8#""]",金地,滨江集团,滨江,民电,民水,30.320458,120.467121,"{""service_num"": ""4006708287"", ""num"": ""46068""}","{""559"": ""现房"", ""557"": ""项目竣工"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""轨交房"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/1fda732836a9f2884f7475a150ae5e3a/275x206n.jpg,"[{""id"": ""7253775"", ""loupan_id"": ""409083"", ""station_id"": ""120807"", ""subway_id"": ""12056"", ""city_id"": ""18"", ""distance"": ""372米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""河庄路站"", ""distance_raw"": ""372""}]",浙江省杭州市河景路与府东路交叉路口往东南约100米(河庄形象城东北侧约50米)
6937346,太平梅林雅居,杭州,18,上城区,1802,城东新城,5133,杭州上城区城东新城东宁路东港嘉苑对面,,,,,,11791m²,59648m²,[],,,1998-10-02,,1998年,1999年,[],{},,40年,,25%,,毛坯,,标准写字楼,中海物业,,,,,售罄,售罄,售罄,[],[],新城控股,,,商电,商水,30.319297,120.224046,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""10"": ""多轨交"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院""}","[""轨交房"", ""多轨交"", ""便利店"", ""银行"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/de3b9aa8f1709d8269fe385781d09aa6/275x206n.jpg,"[{""id"": ""7213015"", ""loupan_id"": ""412930"", ""station_id"": ""120613"", ""subway_id"": ""12046"", ""city_id"": ""18"", ""distance"": ""550米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""19号线"", ""station_name"": ""火车东站(东广场)站"", ""distance_raw"": ""550""}, {""id"": ""7254609"", ""loupan_id"": ""412930"", ""station_id"": ""120844"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""555米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""火车东站(东广场)站"", ""distance_raw"": ""555""}, {""id"": ""7254611"", ""loupan_id"": ""412930"", ""station_id"": ""120840"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""821米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""枸桔弄站"", ""distance_raw"": ""821""}, {""id"": ""7330147"", ""loupan_id"": ""412930"", ""station_id"": ""2632"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""1087米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""火车东站"", ""distance_raw"": ""1087""}, {""id"": ""7213166"", ""loupan_id"": ""412930"", ""station_id"": ""2672"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""1116米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""火车东站"", ""distance_raw"": ""1116""}, {""id"": ""7267557"", ""loupan_id"": ""412930"", ""station_id"": ""122152"", ""subway_id"": ""12111"", ""city_id"": ""18"", ""distance"": ""1331米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""18号线"", ""station_name"": ""驿城路站"", ""distance_raw"": ""1331""}, {""id"": ""7325710"", ""loupan_id"": ""412930"", ""station_id"": ""2633"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""1332米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""彭埠"", ""distance_raw"": ""1332""}, {""id"": ""7213165"", ""loupan_id"": ""412930"", ""station_id"": ""2673"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""1332米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""彭埠"", ""distance_raw"": ""1332""}]",杭州市江干区东宁路东港嘉苑对面（火车东站东广场北侧）
337306,中汇,杭州,18,建德市,17457,建德,17458,杭州建德市建德洋溪街道洋安路18号（洋安路与金盛路交汇处）,,2728元/㎡,2728元/㎡,首付24万，月供5987元,89-126㎡,46000m²,137000m²,"[{""id"": 775423, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 775421, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 106}, {""id"": 775424, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 117}, {""id"": 775422, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 126}]",3/4室,"3室户型,4室户型",1998-12-18,2025年12月13日,1998年,1999年,"[""2025-12-05"", ""2024-10-21"", ""2022-11-11""]",{高层},高层,70年,2,35%,780,毛坯,已竣工，竣工时间：2025-05-30,住宅,万科物业,,,863,1:1.1,售罄,售罄,售罄,"[""建德房现备字（2025）第00222号"", ""建德房预许字（2024）第00471号"", ""建售许字（2022）第ZJ00573号""]","[""14#"", ""4#、7#"", ""9#、5#""]",招商蛇口,,杭州龙大洋溪房地产开发有限公司,民电,民水,29.505135,119.334062,"{""service_num"": ""4006708287"", ""num"": ""35408""}","{""559"": ""现房"", ""557"": ""项目竣工"", ""56"": ""车位充足"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""276"": ""一房一价"", ""5"": ""低单价"", ""4"": ""低总价"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""90"": ""人气楼盘"", ""636"": ""公办小学"", ""421"": ""无需摇号"", ""263"": ""VR看房"", ""226"": ""商业街区""}","[""现房"", ""项目竣工"", ""车位充足"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/08fe9d2f627c72b2acebad439e77c53a/275x206n.jpg,[],杭州市建德洋溪街道洋安路18号，洋安路与金盛路交汇处
7218629,华红树怡园,杭州,18,桐庐县,17459,桐庐,17460,杭州桐庐县桐庐江南镇窄珠线与秀莲线交叉口,,2253元/㎡,2253元/㎡,首付7万，月供1875元,37-43㎡,16797m²,76826.5m²,"[{""id"": 501649, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 37}, {""id"": 537310, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 38}, {""id"": 501650, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 43}]",2室,商业户型,1998-03-22,2020年10月31日,1998年,1999年,"[""2020-06-24"", ""2019-12-23""]",{高层},高层,40年,3.5,15%,1391,带装修,,商业,万科物业,3元/㎡/月,,358,1:0.3,售罄,售罄,售罄,"[""桐售许字（2020）第00630号"", ""桐售许字（2019）第01313号""]","[""2#"", ""1#""]",美的置业,,杭州君元数字科技有限公司,商电,商水,29.852358,119.765515,"{""service_num"": ""4006708287"", ""num"": ""37849""}","{""559"": ""现房"", ""29"": ""装修交付"", ""73"": ""卧室全朝南"", ""82"": ""双卫生间""}","[""现房"", ""装修交付"", ""卧室全朝南"", ""双卫生间""]",https://pic4.ajkimg.com/display/xinfang/a1ab6b8625989feabb862b8f69529832/275x206n.jpg,[],桐庐县江南镇窄珠线与秀莲线交叉口
7974863,时代北辰家园,杭州,18,萧山区,1807,钱江世纪城,5137,杭州萧山区钱江世纪城西兴大桥风情大道下桥口南向900米,,,,,89-138㎡,22186m²,93808m²,"[{""id"": 413814, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 413815, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 413820, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 413816, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 117}, {""id"": 413817, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 120}, {""id"": 413821, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 124}, {""id"": 413822, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 124}, {""id"": 413818, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 125}, {""id"": 413819, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 125}, {""id"": 413823, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 138}]",3/4/5室,"3室户型,4室户型,5室户型",1998-09-12,,1998年,1999年,"[""2019-01-11"", ""2018-12-21""]","{高层,花园洋房}",高层、花园洋房,70年,2.7,30%,585,,,住宅,华润万象生活,3.8元/㎡/月,,660,1:1.1,售罄,售罄,售罄,"[""萧售许字（2019）第00016号"", ""萧售许字（2018）第01045号"", ""萧售许字（2018）第00698号"", ""萧售许字（2018）第00807号""]","[""4、8#""]",美的置业,,,民电,民水,30.206223,120.233763,"{""service_num"": ""4006708287"", ""num"": """"}","{""56"": ""车位充足"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""轨交房"", ""多轨交"", ""大户型"", ""公办中学""]",https://pic4.ajkimg.com/display/xinfang/7560afc527c96ce7504e7d6ad8509cc5/275x206n.jpg,"[{""id"": ""7267505"", ""loupan_id"": ""448457"", ""station_id"": ""122137"", ""subway_id"": ""12110"", ""city_id"": ""18"", ""distance"": ""1457米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""15号线"", ""station_name"": ""明星路站"", ""distance_raw"": ""1457""}, {""id"": ""7213759"", ""loupan_id"": ""448457"", ""station_id"": ""10922"", ""subway_id"": ""1043"", ""city_id"": ""18"", ""distance"": ""1473米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""明星路"", ""distance_raw"": ""1473""}]",杭州市西兴大桥风情大道下桥口南向900米
