楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
3619078,平度月亮翠苑,青岛,30,平度市,3649,平度,3722,青岛平度市平度苏州南路27号,,,,,,7650m²,37750m²,[],,,2001-01-10,,2001年,2002年,[],别墅,小高层,70年,1.4,40%,523,毛坯,,住宅,旭辉永升,0.95元/㎡/月,,100,1:0.2,售罄,售罄,售罄,"[""平房注字(2017)595""]",[],金茂,,,民电,民水,36.754706,119.977517,"""""","{""57"": ""人车分流"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""71"": ""便利店"", ""69"": ""学校"", ""68"": ""医院"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""人车分流"", ""高绿化率"", ""低容积"", ""便利店"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/48be29fa73ef255a87b1852677b04bcb/275x206n.jpg,[],平度市厦门路与苏州路交汇处向南300米路西
6809590,雅坊A区,青岛,30,李沧区,3642,世园,5195,青岛李沧区世园青岛市李沧区铜川路121号,,,,,119-139㎡,19245.4m²,63947.27m²,"[{""id"": 890117, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 119}, {""id"": 890118, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 121}, {""id"": 890116, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 139}, {""id"": 890119, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 121}, {""id"": 890120, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 139}]",3/4室,"3室户型,4室户型",2001-10-20,2026年03月28日,2001年,2002年,"[""2026-03-26"", ""2026-03-26""]",{多层},多层,70年,2.4,30%,374,毛坯,,住宅,融创服务,,,,,售罄,售罄,售罄,"[""青房预字（2026）第011号"", ""青房预字（2026）第012号""]","[""2#"", ""6#""]",正荣,青特集团,青岛丰茂置业有限公司,民电,民水,36.165165,120.474984,"{""service_num"": ""4006708287"", ""num"": ""72125""}","{""80"": ""得房率高"", ""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""92"": ""热搜盘"", ""90"": ""人气楼盘"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""599"": ""省级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""422"": ""30日内开盘"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""得房率高"", ""轨交房"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/86235fec385ef0c7f2c1fa74efeb0191/275x206n.jpg,"[{""id"": ""7337420"", ""loupan_id"": ""533907"", ""station_id"": ""121230"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""1363米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""合川路"", ""distance_raw"": ""1363""}, {""id"": ""7337421"", ""loupan_id"": ""533907"", ""station_id"": ""121229"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""1370米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""佛耳崖"", ""distance_raw"": ""1370""}]",青岛市李沧区铜川路117号（原青特璟誉生活馆）
6759669,博半岛谷,青岛,30,莱西市,3648,莱西,3720,青岛莱西市莱西烟台南路88号,,1549元/㎡,1549元/㎡,首付7万，月供1756元,87-134㎡,180000m²,260000m²,"[{""id"": 345635, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87.19}, {""id"": 345636, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88.02}, {""id"": 345638, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88.02}, {""id"": 423275, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 90}, {""id"": 423277, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 101}, {""id"": 345639, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117.19}, {""id"": 345640, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117.19}, {""id"": 423273, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 130}, {""id"": 345641, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 130.49}, {""id"": 423280, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 134}]",2/3室,"2室户型,3室户型",2001-07-16,2019年01月04日,2001年,2002年,"[""2019-01-04"", ""2018-09-18"", ""2018-06-26""]","{多层,小高层}",多层、小高层,70年,1.4,40%,2500,毛坯,已竣工，竣工时间：2019-12-31,住宅,新城悦服务,0.5~1元/㎡/月,,2000,1:0.8,售罄,售罄,售罄,"[""西房注字（2018）059"", ""西房注字(2018)031"", ""西房注字(2018)026""]","[""44#、45#、46#、47#、48#"", ""43#"", ""1#""]",朗诗,中国铁建地产,中铁十四局集团凯华置业有限公司,民电,民水,36.86097,120.5058,"{""service_num"": ""4006708287"", ""num"": """"}","{""559"": ""现房"", ""557"": ""项目竣工"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""263"": ""VR看房"", ""54"": ""大型社区"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""高绿化率"", ""低容积"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/38d529a7ed4824c048bf633d297ed4b6/275x206n.jpg,[],青岛莱西市烟台南路115号(房管局南50米)
6363222,山海春天宅,青岛,30,市北区,3640,浮山后,3667,青岛市北区浮山后市北富源一路86号,,,,,55-141㎡,5662m²,34494m²,"[{""id"": 71066, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 55}, {""id"": 68971, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 60}, {""id"": 68970, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 68972, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 71068, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 91}, {""id"": 71069, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 110}, {""id"": 71067, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 141}]",1/2/3/4室,"1室户型,2室户型,3室户型,4室户型",2001-11-11,,2001年,2002年,[],超高层,高层,70年,4.92,30%,292,毛坯,,住宅,金地智慧服务,2元/㎡/月,,150,,售罄,售罄,售罄,[],[],招商蛇口,,青岛泰诺置业有限公司,民电,民水,36.1079,120.424488,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""599"": ""省级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/1880fa7ec3c1edea75d6768d25e8a061/275x206n.jpg,"[{""id"": ""7316107"", ""loupan_id"": ""247651"", ""station_id"": ""120734"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""842米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""埠西"", ""distance_raw"": ""842""}, {""id"": ""7316128"", ""loupan_id"": ""247651"", ""station_id"": ""120747"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""849米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""劲松三路"", ""distance_raw"": ""849""}, {""id"": ""7316056"", ""loupan_id"": ""247651"", ""station_id"": ""121187"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1406米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""合肥路"", ""distance_raw"": ""1406""}]",市北区合肥路856-23
2028858,华台二期,青岛,30,市南区,3639,西镇,3660,青岛市南区西镇冠县路西侧,,,,,140-237㎡,住宅：60557m² 别墅：60557m²,住宅：240000m² 别墅：240000m²,"[{""id"": 50191, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 140}, {""id"": 39473, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 145}, {""id"": 50190, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 170}, {""id"": 50192, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 237}]",3/4室,"3室户型,4室户型",2001-11-15,,2001年,2002年,[],高层,住宅：多层、高层 别墅：独栋别墅、联排别墅,住宅：70年 别墅：70年,住宅：3.96 别墅：3.96,住宅：30% 别墅：30%,住宅：1200 别墅：1200,住宅：毛坯 别墅：毛坯,,住宅,龙湖智慧服务,住宅：2.8元/㎡/月,,住宅：800 别墅：800,住宅：1：1 别墅：1：1,售罄,售罄,售罄,"[""青房注字(2011)080号"", ""青房注字(2011)079号"", ""青房注字(2011)103号"", ""青房注字(2012)第070号"", ""青房注字(2012)第069号"", ""青房注字(2013)第041号"", ""青房注字(2014)第006号"", ""青房注字(2014)第005号"", ""青房注字(2014)第043号"", ""青房注字(2014)第042号"", ""青房注字(2015)第018号"", ""青房注字(2015)第017号"", ""青房注字(2016)第070号"", ""青房注字(2016)第069号"", ""青房注字(2016)第094号""]",[],大华,,和记黄埔地产集团,住宅：民电,住宅：民水,36.090487,120.30645,"""""","{""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""配套纯熟"", ""便利店"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/f9dcdff9db32682424e40a32bf92222b/275x206n.jpg,"[{""id"": ""7316637"", ""loupan_id"": ""241903"", ""station_id"": ""121226"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""597米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""小港"", ""distance_raw"": ""597""}, {""id"": ""7316639"", ""loupan_id"": ""241903"", ""station_id"": ""121227"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""674米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""国际邮轮港"", ""distance_raw"": ""674""}]",新疆路2号
7218233,新玉兰雅居,青岛,30,胶州市,3647,新城,17477,青岛胶州市新城香港路与温州路路口南400米路东,,3043元/㎡,3043元/㎡,首付14万，月供3440元,87-169㎡,26666.66m²,68600m²,"[{""id"": 637562, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 637560, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 121}, {""id"": 637559, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 122}, {""id"": 637566, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 143}, {""id"": 637567, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 166}, {""id"": 637565, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 169}]",2/3/4室,"2室户型,3室户型,4室户型",2001-01-14,2021年04月28日,2001年,2002年,"[""2021-04-28"", ""2020-12-31""]",高层,多层、小高层,70年,1.7,35%,326,毛坯,,住宅,保利物业,2.6元/㎡/月,,417,1:1.27,售罄,售罄,售罄,"[""青房注字（胶州）第2021034号"", ""青房注字（胶州）第2020152号""]","[""7#、8#、9#"", ""1#、2#、3#、5#""]",万科,,青岛恒翔永基置业有限公司,民电,民水,36.267843,120.033588,"""""","{""559"": ""现房"", ""56"": ""车位充足"", ""52"": ""低容积"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""78"": ""大户型"", ""404"": ""客餐厅相连"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""540"": ""日照模拟"", ""263"": ""VR看房""}","[""现房"", ""车位充足"", ""低容积"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/fbf019444d19233e07e8313505170297/275x206n.jpg,[],青岛市胶州市香港路与温州路路口南400米路东
4164740,阳光世纪名城,青岛,30,胶州市,3647,新城,17477,青岛胶州市新城北京路222号,,3458元/㎡,3458元/㎡,首付22万，月供5375元,120-160㎡,38000m²,135000m²,"[{""id"": 765612, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 120}, {""id"": 767002, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 140}, {""id"": 769272, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 160}]",3室,3室户型,2001-10-10,2022年12月,2001年,2002年,[],{高层},高层,70年,2.6,40%,548,毛坯,,住宅,金地智慧服务,2.77元/㎡/月,,548,,售罄,售罄,售罄,"[""青房注字（胶州）第2022053号""]","[""1#、2#、3#、4#、5#、6#""]",招商蛇口,,阳光新天地控股集团有限公司,民电,民水,36.283046,120.052072,"{""service_num"": ""4006708287"", ""num"": ""15573""}","{""53"": ""高绿化率"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""5"": ""低单价"", ""4"": ""低总价"", ""69"": ""学校"", ""65"": ""商业街"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""90"": ""人气楼盘"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""263"": ""VR看房""}","[""高绿化率"", ""厨卫全明"", ""南北通透"", ""卧室全朝南"", ""低单价""]",https://pic4.ajkimg.com/display/xinfang/c5dc401533a9fd5f6a8785faf4b1c509/275x206n.jpg,[],青岛市胶州市北京路与海尔大道交汇处
3402218,绿北辰豪庭,青岛,30,市南区,3639,香港路沿线,3653,青岛市南区香港路沿线燕儿岛路23号,,,,,240-260㎡,42463m²,121225m²,"[{""id"": 110676, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 240}, {""id"": 105644, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 260}]",4室,4室户型,2001-08-27,,2001年,2002年,[],别墅,高层,70年,1.88,30%,228,毛坯,,住宅,金地智慧服务,9元/㎡/月,,630,,售罄,售罄,售罄,"[""青房注字(2016)第013号"", ""青房注字(2015)第042号"", ""青房注字(2014)第033号""]",[],朗诗,,北京远坤房地产开发有限公司,民电,民水,36.076027,120.402923,"{""service_num"": ""4006708287"", ""num"": """"}","{""52"": ""低容积"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""低容积"", ""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/91715d2325282faa0e4e55a0c601ea3e/275x206n.jpg,"[{""id"": ""7316087"", ""loupan_id"": ""242009"", ""station_id"": ""4480"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""730米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""燕儿岛路"", ""distance_raw"": ""730""}, {""id"": ""7316086"", ""loupan_id"": ""242009"", ""station_id"": ""4481"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""792米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""高雄路"", ""distance_raw"": ""792""}, {""id"": ""7314988"", ""loupan_id"": ""242009"", ""station_id"": ""121166"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1350米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""北山公园"", ""distance_raw"": ""1350""}]",市南区燕儿岛路23号
1480574,中梁时代庄,青岛,30,市北区,3640,台东,3674,青岛市北区台东昌乐路与曹县路交汇处,,7884元/㎡,7884元/㎡,首付44万，月供10536元,103-126㎡,22500m²,91800m²,"[{""id"": 664498, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 103}, {""id"": 664520, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 118}, {""id"": 664503, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 126}]",3室,3室户型,2001-07-15,2021年06月30日,2001年,2002年,"[""2021-10-28"", ""2021-06-30""]",{小高层},小高层,70年,2.5,25%,332,,在建中，竣工时间：暂无数据,住宅,金地智慧服务,3.02元/㎡/月,,413,,售罄,售罄,售罄,"[""青房预字(2021)第068号"", ""青房预字(2021)第045号""]","[""2地块1#、2地块2#"", ""1#、2#""]",大华,中梁地产,青岛世华茂悦企业管理有限公司,民电,民水,36.097911,120.342449,"""""","{""81"": ""大阳台"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""7"": ""项目在建"", ""10"": ""多轨交"", ""78"": ""大户型"", ""404"": ""客餐厅相连"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""540"": ""日照模拟"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""大阳台"", ""轨交房"", ""厨卫全明"", ""南北通透"", ""卧室全朝南""]",https://pic4.ajkimg.com/display/xinfang/bc61807db1150a1595dc5b8b95300392/275x206n.jpg,"[{""id"": ""7314264"", ""loupan_id"": ""489858"", ""station_id"": ""121172"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""156米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""昌乐路"", ""distance_raw"": ""156""}, {""id"": ""7314572"", ""loupan_id"": ""489858"", ""station_id"": ""120729"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""243米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""昌乐路"", ""distance_raw"": ""243""}, {""id"": ""7315502"", ""loupan_id"": ""489858"", ""station_id"": ""4474"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""669米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""利津路"", ""distance_raw"": ""669""}, {""id"": ""7316191"", ""loupan_id"": ""489858"", ""station_id"": ""120399"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""990米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""台东"", ""distance_raw"": ""990""}, {""id"": ""7315507"", ""loupan_id"": ""489858"", ""station_id"": ""4475"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""1118米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""台东"", ""distance_raw"": ""1118""}, {""id"": ""7315504"", ""loupan_id"": ""489858"", ""station_id"": ""4473"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""1128米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""泰山路"", ""distance_raw"": ""1128""}, {""id"": ""7314555"", ""loupan_id"": ""489858"", ""station_id"": ""120730"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1134米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""泰山路"", ""distance_raw"": ""1134""}, {""id"": ""7316256"", ""loupan_id"": ""489858"", ""station_id"": ""120355"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""1319米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""广饶路"", ""distance_raw"": ""1319""}]",青岛市市北区昌乐路与曹县路交汇处中梁拾光映象营销中心
9841991,御都一期,青岛,30,崂山区,3643,张村河,25580,青岛崂山区张村河长丰路9号,,11619元/㎡,11619元/㎡,首付82万，月供19710元,142-198㎡,39100m²,131500m²,"[{""id"": 819954, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 142}, {""id"": 818946, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 158}, {""id"": 824151, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 178}, {""id"": 837403, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 198}]",3/4室,"3室户型,4室户型",2001-03-05,2023年10月15日,2001年,2002年,"[""2025-03-03"", ""2024-07-01"", ""2024-04-06"", ""2023-09-23""]",{小高层},小高层,70年,2.5,35%,569,带装修,,住宅,龙湖智慧服务,4.86元/㎡/月,,963,1:1.7,售罄,售罄,售罄,"[""青崂房预字（2024）第0013号"", ""青崂房预字（2024）第0009号"", ""青崂房预字(2024)第0005号"", ""青崂房预字（2023）第0011号""]","[""11#、12#、13#"", ""9#"", ""7#、10#、3#"", ""4#、1#""]",正荣,越秀地产,,民电,民水,36.150725,120.458667,"{""service_num"": ""4006708287"", ""num"": ""100248""}","{""559"": ""现房"", ""56"": ""车位充足"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""277"": ""特价房源"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""65"": ""商业街"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""744"": ""好房子"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""540"": ""日照模拟"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""现房"", ""车位充足"", ""装修交付"", ""轨交房"", ""厨卫全明""]",https://pic4.ajkimg.com/display/xinfang/db1072f81c9060c7d63c5304db415b91/275x206n.jpg,"[{""id"": ""7251756"", ""loupan_id"": ""521756"", ""station_id"": ""120740"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""993米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""科苑经七路"", ""distance_raw"": ""993""}, {""id"": ""7251755"", ""loupan_id"": ""521756"", ""station_id"": ""120736"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1430米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""张村"", ""distance_raw"": ""1430""}]",崂山区长丰路9号
