楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
240103,龙湖好望山,上海,11,松江区,15,松江新城,143,上海松江区松江新城人民北路2908弄,外郊环,nan,nan,nan,69-395㎡,住宅：92733m² 别墅：92733m²,住宅：148373m² 别墅：148373m²,"[{""id"": 36928, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 82}, {""id"": 36929, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 89}, {""id"": 36925, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 69}, {""id"": 36926, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 90}, {""id"": 36927, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 119}, {""id"": 34981, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 146}, {""id"": 34980, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 195}]",别墅、1/2/3/4/5室,"1室户型,2室户型,3室户型,4室户型,5室户型,别墅户型",nan,nan,nan,nan,[],"{小高层,独栋别墅,联排别墅}","{小高层,独栋别墅,联排别墅}",住宅：70年 别墅：70年,住宅：1.6 别墅：1.6,住宅：37% 别墅：37%,住宅：1193 别墅：1193,住宅：毛坯 别墅：毛坯,nan,住宅,nan,住宅：2.6元/㎡/月 别墅：3.6元/㎡/月,nan,住宅：242 别墅：242,住宅：1:1 别墅：1:1,尾盘,尾盘,尾盘,[],[],nan,nan,上海恒世房地产有限公司,住宅：民电,住宅：民水,31.060607897182,121.22920496402,"{""service_num"": ""4006708287"", ""num"": """"}","{""57"": ""人车分流"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购""}","[""人车分流"", ""高绿化率"", ""低容积"", ""外郊环"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/dd49a6877f60e2e25b8ef27efcdd8c88/275x206n.jpg,[],上海市松江区人民北路2908弄
458104,浦江科技广场,上海,11,闵行区,11,浦江,114,上海闵行区浦江陈行公路2388号,外郊环,nan,nan,nan,nan,30000m²,300000m²,[],nan,nan,nan,nan,nan,nan,[],{},{},50年,nan,30%,nan,nan,nan,标准写字楼,上海临港漕河泾物业服务有限公司,12元/㎡/月,nan,560,nan,售罄,售罄,售罄,[],[],上海漕河泾开发区经济技术发展有限公司,nan,nan,商电,商水,31.1039386946,121.51455615114,"""""","{""9"": ""轨交房"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""65"": ""商业街"", ""591"": ""放松限购""}","[""轨交房"", ""外郊环"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/f4d35beb767198357ce99fd5ebab4f33/275x206n.jpg,"[{""id"": ""7198521"", ""loupan_id"": ""458104"", ""station_id"": ""3201"", ""subway_id"": ""66"", ""city_id"": ""11"", ""distance"": ""329米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""浦江镇"", ""distance_raw"": ""329""}]",闵行区陈行公路2388号
413258,嘉誉国际广场,上海,11,杨浦区,9,新江湾城,95,上海杨浦区新江湾城殷行路1280号等,中外环,nan,nan,nan,nan,44514m²,163866m²,[],nan,nan,nan,nan,nan,nan,[],{},{},50年,nan,25%,nan,毛坯,nan,标准写字楼,nan,25元/㎡/月,nan,1569,nan,尾盘,尾盘,尾盘,[],[],nan,nan,富力地产,商电,商水,31.33502,121.515116,"{""service_num"": ""4006708287"", ""num"": """"}","{""13"": ""中外环"", ""71"": ""便利店"", ""64"": ""购物中心""}","[""中外环"", ""便利店"", ""购物中心""]",https://pic4.ajkimg.com/display/xinfang/09e76ce65d4fd43dae120df64cf1cace/275x206n.jpg,[],杨浦区淞沪路殷行路路口
220279,檀乡湾,上海,11,宝山区,13,顾村,130,上海宝山区顾村水产西路728号,外郊环,nan,nan,nan,72-136㎡,住宅：72851m² 别墅：72851m²,住宅：110000m² 别墅：110000m²,"[{""id"": 22681, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 72}, {""id"": 11605, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 22674, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 22675, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 92}, {""id"": 11604, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 98}, {""id"": 11595, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 103}, {""id"": 53704, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 103}, {""id"": 22679, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 104}, {""id"": 22680, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 136}]",1/2/3室,"1室户型,2室户型,3室户型",nan,nan,nan,nan,[],"{多层,小高层,叠加别墅}","{多层,小高层,叠加别墅}",住宅：70年 别墅：70年,住宅：1.35,住宅：41% 别墅：41%,住宅：815 别墅：815,住宅：毛坯 别墅：毛坯,nan,住宅,nan,住宅：1.14~1.55元/㎡/月,nan,住宅：600 别墅：600,住宅：1:6 别墅：1:6,尾盘,尾盘,尾盘,[],[],nan,nan,上海亿邦置业有限公司,住宅：民电,住宅：民水,31.36251979287,121.4238849418,"{""service_num"": ""4006708287"", ""num"": """"}","{""56"": ""车位充足"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""65"": ""商业街"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购""}","[""车位充足"", ""高绿化率"", ""低容积"", ""外郊环"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/8b4a9b5fd4a8d2566ebe6adaaab81b01/275x206n.jpg,[],宝山区水产西路728号
413243,合景理想家,上海,11,嘉定区,14,嘉定镇,157,上海嘉定区嘉定镇嘉定希望路978弄,nan,nan,nan,nan,nan,13000m²,29424m²,[],nan,nan,nan,nan,nan,nan,[],{商住},{商住},50年,nan,26%,nan,带装修,nan,标准写字楼,nan,nan,nan,nan,nan,尾盘,尾盘,尾盘,[],[],nan,nan,nan,商电,商水,31.341922711367,121.26430810648,"""""","{""29"": ""装修交付"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""55"": ""小型社区""}","[""装修交付"", ""便利店"", ""银行"", ""医院"", ""小型社区""]",https://pic4.ajkimg.com/display/xinfang/b3cb5e3cd6d557d653d75261c6b7a0b4/275x206n.jpg,[],上海市嘉定区合作路伊宁路路口
239927,中建大公馆,上海,11,杨浦区,9,新江湾城,95,上海杨浦区新江湾城政和路538弄,中外环,nan,nan,nan,251-412㎡,114517m²,233775m²,"[{""id"": 390945, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 251}, {""id"": 247412, ""rooms"": 7, ""room_alias"": ""七室"", ""area"": 412}]",别墅,别墅户型,nan,nan,nan,nan,[],"{独栋别墅,联排别墅,叠加别墅}","{独栋别墅,联排别墅,叠加别墅}",70年,1,35%,418,毛坯,nan,别墅,北京中建物业管理有限公司,6元/㎡/月,nan,1,1:0,尾盘,尾盘,尾盘,"[""杨浦房管(2013)预字0000146号"", ""杨浦房管(2013)预字0000143号"", ""杨浦房管(2012)预字0363号"", ""杨浦房管(2012)预字0370号"", ""杨浦房管(2011)预字1312号""]",[],nan,nan,中建国际建设有限公司,民电,民水,31.337088,121.523355,"""""","{""13"": ""中外环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""中外环"", ""配套纯熟"", ""便利店"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/69c49c44578142df9bbcc321f1349b96/275x206n.jpg,[],杨浦区政和路国秀路交汇处
239627,中冶祥腾宝月花园,上海,11,宝山区,13,月浦,134,上海宝山区月浦月塘路268弄,郊环外,nan,nan,nan,83-127㎡,83998m²,102145m²,"[{""id"": 65009, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 83}, {""id"": 64736, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 65010, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 112}, {""id"": 64901, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 113}, {""id"": 65008, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 121}, {""id"": 64737, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 127}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{小高层},{小高层},70年,1,55%,905,"毛坯,带装修",nan,住宅,nan,1.79元/㎡/月,nan,677,nan,尾盘,尾盘,尾盘,[],[],nan,nan,上海祥腾投资有限公司、中国二十冶集团有限公司,民电,民水,31.430640052498,121.41887520337,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""16"": ""郊环外"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购""}","[""高绿化率"", ""低容积"", ""装修交付"", ""郊环外"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/905136abd6499e5d98e34e59c1f897e1/275x206n.jpg,[],宝山区薀川路月罗公路口
413255,汇京国际广场,上海,11,徐汇区,5,徐家汇,41,上海徐汇区徐家汇虹桥路777号,内环内,nan,nan,nan,1500㎡,20300m²,86700m²,[],nan,商办户型,nan,nan,nan,nan,[],{},{},50年,nan,45%,nan,毛坯,nan,标准写字楼,nan,25元/㎡/月,nan,nan,nan,尾盘,尾盘,尾盘,[],[],nan,nan,上海汇京置业发展有限公司,商电,商水,31.202056,121.429859,"{""service_num"": ""4006708287"", ""num"": """"}","{""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""64"": ""购物中心""}","[""内环内"", ""配套纯熟"", ""便利店"", ""银行"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/ef59804f2e128bb8aeba21ab9e12d50a/275x206n.jpg,[],徐汇区淮海西路365号
458079,明珠创意产业园,上海,11,虹口区,8,大柏树,21449,上海虹口区大柏树广纪路738号,中外环,nan,nan,nan,nan,6500m²,9500m²,[],nan,nan,nan,nan,nan,nan,[],{},{},50年,nan,30%,nan,毛坯,nan,标准写字楼,上海科房投资有限公司,15元/㎡/月,nan,120,nan,售罄,售罄,售罄,[],[],上海科房投资有限公司,nan,上海科房投资有限公司,商电,商水,31.298333602284,121.49051451914,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""10"": ""多轨交"", ""13"": ""中外环""}","[""轨交房"", ""多轨交"", ""中外环""]",https://pic4.ajkimg.com/display/xinfang/3fad9623c129d3a8e8dda8766693e691/275x206n.jpg,"[{""id"": ""7196985"", ""loupan_id"": ""458079"", ""station_id"": ""3088"", ""subway_id"": ""61"", ""city_id"": ""11"", ""distance"": ""507米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""大柏树"", ""distance_raw"": ""507""}, {""id"": ""7259612"", ""loupan_id"": ""458079"", ""station_id"": ""121413"", ""subway_id"": ""12075"", ""city_id"": ""11"", ""distance"": ""1249米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""20号线"", ""station_name"": ""车南路"", ""distance_raw"": ""1249""}, {""id"": ""7196983"", ""loupan_id"": ""458079"", ""station_id"": ""3087"", ""subway_id"": ""61"", ""city_id"": ""11"", ""distance"": ""1378米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""赤峰路"", ""distance_raw"": ""1378""}]",虹口区广纪路738号
201618,碧盈苑,上海,11,浦东,7,惠南,161,上海浦东惠南南六公路99弄20支弄,外郊环,nan,nan,nan,195-260㎡,别墅：81202m² 住宅：81202m²,别墅：14487m² 住宅：14487m²,"[{""id"": 684, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 195}, {""id"": 12286, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 230}, {""id"": 686, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 221}, {""id"": 685, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 260}]",4/5室,"4室户型,5室户型",nan,nan,nan,nan,"[""2010-01-29""]","{独栋别墅,双拼别墅}","{独栋别墅,双拼别墅}",别墅：70年 住宅：70年,别墅：0.45 住宅：0.18,别墅：41% 住宅：41%,别墅：157 住宅：157,别墅：毛坯 住宅：毛坯,nan,别墅,上海鑫源物业经营管理有限公司,别墅：2.5元/㎡/月 住宅：2.5元/㎡/月,nan,别墅：157 住宅：157,别墅：1:1 住宅：1:1,售罄,售罄,售罄,"[""南汇房管（2010）预字0025号""]","[""91#、92#、100#、99#、98#、97#、96#、95#、94#、93#、90#、89#、88#、87#、86#、85#、84#、83#、82#、81#、80#、79#、78#、77#、76#、75#、74#、73#、72#、71#、70#、69#、68#、67#、66#、65#、64#、63#、62#、61#、60#、59#、11#、16#、54#、53#、52#、51#、50#、49#""]",nan,nan,上海住宅科技投资股份有限公司,别墅：民电,别墅：民水,31.052034,121.716401,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""15"": ""外郊环"", ""70"": ""银行"", ""69"": ""学校"", ""66"": ""公园"", ""78"": ""大户型"", ""641"": ""寄宿制中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""625"": ""寄宿制小学"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""55"": ""小型社区""}","[""高绿化率"", ""低容积"", ""外郊环"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/0ffdccee8b086d717f568798f3f03b88/275x206n.jpg,[],南六公路99弄20支弄
