楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
243065,碧桂园珊瑚宫殿,三亚,51,陵水,4928,清水湾,5086,三亚陵水清水湾赤英路,nan,nan,nan,nan,36-396㎡,住宅：733333m² 别墅：733333m²,住宅：1100000m² 别墅：1100000m²,"[{""id"": 138462, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 35.68}, {""id"": 138439, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 40.57}, {""id"": 138444, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 51.06}, {""id"": 75804, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 52.18}, {""id"": 75806, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 56.73}, {""id"": 75819, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 68.73}, {""id"": 75818, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 69.31}, {""id"": 75803, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 73.31}, {""id"": 75808, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 77.01}, {""id"": 108149, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 77.74}, {""id"": 138459, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 60.27}, {""id"": 138467, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 62.62}, {""id"": 286604, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 63}, {""id"": 214590, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 66}, {""id"": 138477, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 66.79}, {""id"": 286596, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 67}, {""id"": 138465, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 67.2}, {""id"": 138479, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 68.11}, {""id"": 286603, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 69}, {""id"": 138469, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 69.69}, {""id"": 138470, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 73.51}, {""id"": 138466, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 73.82}, {""id"": 214593, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 74}, {""id"": 286600, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 74}, {""id"": 138464, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 74.06}, {""id"": 214587, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76}, {""id"": 138475, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76.27}, {""id"": 138468, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76.35}, {""id"": 138481, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76.55}, {""id"": 286599, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 78}, {""id"": 214592, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 80}, {""id"": 214591, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 82}, {""id"": 138473, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89.01}, {""id"": 75817, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 101.84}, {""id"": 75807, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 102.53}, {""id"": 75810, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 106.1}, {""id"": 75815, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 106.1}, {""id"": 75812, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 106.13}, {""id"": 75816, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 122.02}, {""id"": 75809, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 136.47}, {""id"": 138471, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 82.69}, {""id"": 138472, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 84.59}, {""id"": 286602, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 85}, {""id"": 214589, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 92}, {""id"": 286605, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 92}, {""id"": 75801, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 152.65}, {""id"": 75811, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 153.07}, {""id"": 214585, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 80}, {""id"": 286592, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 102}, {""id"": 108148, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 113.22}, {""id"": 76022, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 266.97}, {""id"": 76020, ""rooms"": 7, ""room_alias"": ""七室"", ""area"": 392.35}, {""id"": 76021, ""rooms"": 8, ""room_alias"": ""八室"", ""area"": 395.65}]",1/2/3室、别墅,"1室户型,2室户型,3室户型,别墅户型",nan,nan,nan,nan,"[""2012-09-10"", ""2016-02-04"", ""2018-01-02"", ""2017-10-31"", ""2014-10-01""]","{独栋别墅,高层,花园洋房}","{独栋别墅,高层,花园洋房}",住宅：70年 别墅：70年,住宅：1.4 别墅：1.4,住宅：60% 别墅：60%,住宅：7182 别墅：7182,住宅：带装修 别墅：带装修,nan,住宅,nan,住宅：3.8元/㎡/月 别墅：5.8元/㎡/月,nan,住宅：972 别墅：972,住宅：1:0.1 别墅：1:0.1,尾盘,尾盘,尾盘,"[""陵房预字[2012]第0013号"", ""陵房预字[2015]第0011号"", ""陵房字[2016]第0025号"", ""陵房字[2017]第0080号"", ""【2018】陵放预字（0006）号"", ""陵房预字[2017]第0062号"", ""陵房预字[2014]第0027号""]","[""一期房源"", ""三期房源"", ""四期海上繁花"", ""二期房源""]",海南陵水碧桂园润达投资置业有限责任公司,nan,增城市碧桂园物业发展有限公司,住宅：民电,住宅：民水,18.390771,109.848686,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""31"": ""大平层"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""54"": ""大型社区""}","[""高绿化率"", ""低容积"", ""大平层"", ""装修交付"", ""旅游地产""]",https://pic4.ajkimg.com/display/xinfang/a7798200969e1dea48630619fd6c5571/275x206n.jpg,[],东线高速英州出口清水湾大道转珊瑚大道
245700,亿城红树洲,三亚,51,吉阳区,10250,河东,4935,三亚吉阳区河东河东路与临春河路交汇处（美丽之冠河对岸北侧500米）,nan,nan,nan,nan,72-186㎡,住宅：22450m² 别墅：22450m²,住宅：19645m² 别墅：19645m²,"[{""id"": 49598, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 72}, {""id"": 49596, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 101}, {""id"": 49599, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 93}]",1/2/3室、别墅,"1室户型,2室户型,3室户型,别墅户型",nan,nan,nan,nan,[],"{多层,联排别墅,双拼别墅}","{多层,联排别墅,双拼别墅}",nan,住宅：0.7,住宅：60% 别墅：60%,住宅：164 别墅：164,住宅：带装修 别墅：带装修,nan,住宅,nan,住宅：4.5元/㎡/月 别墅：7.8元/㎡/月,nan,住宅：98 别墅：98,住宅：1:1 别墅：1:1,尾盘,尾盘,尾盘,[],[],nan,nan,亿城集团股份有限公司,住宅：民电,住宅：民水,18.263913,109.520087,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""55"": ""小型社区""}","[""高绿化率"", ""低容积"", ""装修交付"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/24d06e402e003d29f76473d98b9d8730/275x206n.jpg,[],三亚市河东路与临春河路交汇处
243044,海韵陵河假日,三亚,51,陵水,4928,陵水,4976,三亚陵水陵水滨河南路,nan,nan,nan,nan,38-113㎡,103533m²,259000m²,"[{""id"": 68932, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 37.99}, {""id"": 68931, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 44.42}, {""id"": 68870, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 45.81}, {""id"": 68934, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 46.47}, {""id"": 68930, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 52.08}, {""id"": 45592, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 66}, {""id"": 68935, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 68.29}, {""id"": 68937, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 78.46}, {""id"": 45595, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 81}, {""id"": 68939, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 83.81}, {""id"": 68940, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 112.67}]",1/2/3室,"1室户型,2室户型",nan,nan,nan,nan,[],{高层},{高层},70年,3.07,44%,3368,带装修,nan,住宅,nan,2.5元/㎡/月,nan,2284,1:1.5,尾盘,尾盘,尾盘,[],[],nan,nan,陵水海韵投资开发有限公司,民电,民水,18.517462,110.041406,"""""","{""56"": ""车位充足"", ""53"": ""高绿化率"", ""29"": ""装修交付"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""54"": ""大型社区""}","[""车位充足"", ""高绿化率"", ""装修交付"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/b52ea51bd887dceca6317bac565fa6e1/275x206n.jpg,[],三亚市凤凰路129-1海韵假日销售中心；陵水县滨河南路项目现场
244548,水三千,三亚,51,吉阳区,10250,大东海,4937,三亚吉阳区大东海榆亚路690号,nan,nan,nan,nan,38-114㎡,44001.97m²,104194m²,"[{""id"": 298306, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 37.71}, {""id"": 280860, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 41.08}, {""id"": 298303, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 45.98}, {""id"": 280858, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 68.24}, {""id"": 268775, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 69.99}, {""id"": 298329, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 70.01}, {""id"": 280863, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 72.57}, {""id"": 298328, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 74.47}, {""id"": 298326, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 74.84}, {""id"": 265299, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 77.3}, {""id"": 268771, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 81.1}, {""id"": 268773, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 82}, {""id"": 80742, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 84.32}, {""id"": 280856, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 79.94}, {""id"": 298327, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 82.02}, {""id"": 80744, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 107.55}, {""id"": 80745, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 114.38}]",1/2/3室,"1室户型,2室户型,3室户型",nan,nan,nan,nan,"[""2015-11-30"", ""2012-11-28"", ""2017-03-02"", ""2016-08-05"", ""2017-12-27""]",{高层},{高层},70年,2,55%,1004,毛坯,nan,住宅,nan,2.5元/㎡/月,nan,1100,1:1,尾盘,尾盘,尾盘,"[""三房预许字[2015]39号"", ""三房预许字[2012]018号"", ""三房预许字[2017]15号"", ""三房预许字［2016］31号"", ""三房预许字［2017］80号""]","[""D#"", ""H# J#"", ""C#"", ""E#"", ""A#、F#""]",nan,nan,三亚华榆实业有限公司,民电,民水,18.272062,109.578697,"""""","{""53"": ""高绿化率"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""79"": ""小户型"", ""78"": ""大户型""}","[""高绿化率"", ""旅游地产"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/18284e37250c683f7b7636f3073c0673/275x206n.jpg,[],三亚市榆亚路686号
245788,龙逸河畔,三亚,51,乐东,4917,乐东,4965,三亚乐东乐东九龙大道南,nan,nan,nan,nan,35-76㎡,30000m²,80000m²,"[{""id"": 50692, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 35}, {""id"": 50693, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 55}, {""id"": 50695, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76}]",1/2室,"1室户型,2室户型",nan,nan,nan,nan,[],{小高层},{小高层},nan,2.5,50%,340,毛坯,nan,住宅,三亚大原房地产开发有限公司,1.8元/㎡/月,nan,310,1:1,尾盘,尾盘,尾盘,[],[],nan,nan,三亚大原房地产开发有限公司,民电,民水,18.44905,108.919725,"{""service_num"": ""4006708287"", ""num"": """"}","{""53"": ""高绿化率"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""79"": ""小户型""}","[""高绿化率"", ""银行"", ""学校"", ""医院"", ""小户型""]",https://pic4.ajkimg.com/display/xinfang/16d2d8377e44dbdff431a9b06b4f2eb6/275x206n.jpg,[],三亚湾路通海四巷、乐东九所镇
243053,顺泽福湾,三亚,51,陵水,4928,土福湾,5088,三亚陵水土福湾东部沿海土福湾度假区中部,nan,nan,nan,nan,70-228㎡,住宅：229333m² 别墅：229333m²,住宅：93077.36m² 别墅：93077.36m²,"[{""id"": 49103, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 70}, {""id"": 49102, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 92}]",别墅、1/2室,"1室户型,2室户型,别墅户型",nan,nan,nan,nan,[],"{独栋别墅,多层}","{独栋别墅,多层}",住宅：70年 别墅：70年,住宅：0.36,住宅：58% 别墅：58%,住宅：316 别墅：316,住宅：带装修 别墅：带装修,nan,住宅,海南华夏顺泽物业管理有限公司,住宅：6元/㎡/月 别墅：8元/㎡/月,nan,住宅：239 别墅：239,住宅：1:1 别墅：1:1,尾盘,尾盘,尾盘,[],[],nan,nan,北京华夏顺泽集团有限公司,住宅：民电,住宅：民水,18.412548,109.814533,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""70"": ""银行"", ""69"": ""学校"", ""79"": ""小户型"", ""78"": ""大户型""}","[""高绿化率"", ""低容积"", ""装修交付"", ""旅游地产"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/d3784dc024c6ae4578d042d9635a0640/275x206n.jpg,[],三亚市凤凰路水晶宫大酒楼旁
243064,三亚中体奥林匹克湾,三亚,51,海棠区,10252,海棠湾,4938,三亚海棠区海棠湾玉林路,nan,nan,nan,nan,nan,住宅：1466666m² 别墅：1466666m²,住宅：700000m² 别墅：700000m²,[],nan,nan,nan,nan,nan,nan,[],"{多层,高层}","{多层,高层}",住宅：70年 别墅：70年,住宅：6,住宅：40% 别墅：40%,nan,住宅：带装修 别墅：带装修,nan,住宅,nan,nan,nan,nan,nan,尾盘,尾盘,尾盘,[],[],nan,nan,奥林匹克湾海棠湾,住宅：民电,住宅：民水,18.317543815416,109.71423842327,"{""service_num"": ""4006708287"", ""num"": """"}","{""53"": ""高绿化率"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""55"": ""小型社区""}","[""高绿化率"", ""装修交付"", ""旅游地产"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/dd2ed2bc0669dd237067c54d65978864/275x206n.jpg,[],三亚海棠湾林旺片区
243054,阅海观山温泉度假村,三亚,51,天涯区,10251,河西,4934,三亚天涯区河西凤凰路与解放四路交叉口旁,nan,nan,nan,nan,45-134㎡,19794m²,44524m²,"[{""id"": 49079, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 45.15}, {""id"": 49074, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 58.59}, {""id"": 49075, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 60.89}, {""id"": 49072, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 70.28}, {""id"": 49099, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 80.69}, {""id"": 49097, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 82.45}, {""id"": 49095, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 83.06}, {""id"": 49100, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 111.01}, {""id"": 49089, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 127.99}, {""id"": 49093, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 133.8}]",1/2/3室,"1室户型,2室户型,3室户型",nan,nan,nan,nan,[],{高层},{高层},70年,1.8,48%,376,带装修,nan,住宅,三亚卓达物业管理有限公司,2.5元/㎡/月,nan,166,1:0.44,尾盘,尾盘,尾盘,"[""三房预许字[2011]010号""]",[],nan,nan,山西粟海集团,民电,民水,18.299987,109.469447,"{""service_num"": ""4006708287"", ""num"": ""39964""}","{""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""79"": ""小户型"", ""78"": ""大户型""}","[""高绿化率"", ""低容积"", ""装修交付"", ""旅游地产"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/0e6b2ad81e1de248d7f8fda254daa7eb/275x206n.jpg,[],三亚市三亚湾路仙居府酒店大堂
243041,那香山,三亚,51,保亭,4927,保亭,4975,三亚保亭保亭呀诺达5A级热带雨林景区旁,nan,nan,nan,nan,91-116㎡,226664m²,109000m²,"[{""id"": 91317, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 90.59}]",别墅,nan,2012-01-08,2012年01月08日,2012年1月8日,2014年9月30日,[],"{独栋别墅,叠加别墅}","{独栋别墅,叠加别墅}",40年,0.36,43%,380,带装修,nan,别墅,nan,9.5元/㎡/月,nan,800,1:2.1,尾盘,尾盘,尾盘,"[""保房预字[2011]13号""]",[],海南保亭盛玺投资管理有限公司,nan,北京春光集团,民电,民水,18.461702,109.67771,"{""service_num"": ""4006708287"", ""num"": """"}","{""559"": ""现房"", ""56"": ""车位充足"", ""53"": ""高绿化率"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院""}","[""现房"", ""车位充足"", ""高绿化率"", ""装修交付"", ""旅游地产""]",https://pic4.ajkimg.com/display/xinfang/3f1811878c5f63d6843cabc9408e0f7a/275x206n.jpg,[],三亚市河东凤凰路天弘水云间小区C栋北京春光集团
451487,海棠铂樾,三亚,51,陵水,4928,陵水,4976,三亚陵水陵水土福湾旅游度假区,nan,nan,nan,nan,53-124㎡,住宅：101333.3m² 别墅：101333.3m²,住宅：125093.09m² 别墅：125093.09m²,"[{""id"": 430499, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 52.68}, {""id"": 430504, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 52.76}, {""id"": 430501, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 56.15}, {""id"": 430500, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 61.13}, {""id"": 430505, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 82.34}, {""id"": 430508, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 113.12}, {""id"": 430506, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 121.25}, {""id"": 430509, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 123.23}, {""id"": 430507, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 124.48}]",1/2室,"1室户型,2室户型",2022-01-01,2022年上半年,2022年上半年,nan,[],"{独栋别墅,双拼别墅,高层}","{独栋别墅,双拼别墅,高层}",住宅：70年 别墅：70年,住宅：0.8 别墅：0.8,住宅：55% 别墅：55%,住宅：766 别墅：766,住宅：带装修 别墅：带装修,nan,住宅,绿城物业服务有限公司,nan,nan,住宅：706 别墅：706,住宅：1:0.92 别墅：1:0.92,尾盘,尾盘,尾盘,[],[],海南陵水汇安物业投资有限公司,nan,nan,住宅：民电,住宅：民水,18.407106762424,109.82424358874,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""79"": ""小户型"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""397"": ""动静分离"", ""263"": ""VR看房""}","[""高绿化率"", ""低容积"", ""装修交付"", ""小户型"", ""大户型""]",https://pic4.ajkimg.com/display/xinfang/0cbf047d34e43fbe60ef02a4e0643922/275x206n.jpg,[],海南东线环岛高速土福出口左转直行2000米
