楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
240620,欣北钱江国际广场,杭州,18,临平区,24198,塘栖,24203,杭州临平区塘栖顺风路与兴元路交汇的西南角,nan,nan,nan,nan,37-77㎡,22533m²,95198m²,"[{""id"": 31365, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 36.67}, {""id"": 31362, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 38.59}, {""id"": 56605, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 54.74}, {""id"": 31363, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 54.75}, {""id"": 31360, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 55.9}, {""id"": 31361, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 77.02}]",1室、1/2室,"商业户型,1室户型",nan,nan,nan,nan,[],{高层},{高层},nan,nan,25%,1291,"毛坯,带装修",nan,商业,nan,nan,nan,614,1:2.1,售罄,售罄,售罄,[],[],nan,nan,杭州欣北投资有限公司,商电,商水,30.474417,120.259364,"""""","{""57"": ""人车分流"", ""56"": ""车位充足"", ""29"": ""装修交付"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""64"": ""购物中心"", ""79"": ""小户型""}","[""人车分流"", ""车位充足"", ""装修交付"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/e56a6fe9bf8e89dc42779f5f7331ca28/275x206n.jpg,[],钱江开发区顺风路项目现场售展中心
245525,星耀城,杭州,18,滨江区,1806,长河,1917,杭州滨江区长河星耀城位于北临滨盛路，西依江陵路，南为丹枫路，东有规划支路,nan,nan,nan,nan,42-65㎡,29408m²,158330m²,"[{""id"": 62742, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 42}, {""id"": 62743, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 65}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{高层},{高层},nan,4,25%,626,带装修,nan,住宅,nan,3元/㎡/月,nan,1037,1:1,售罄,售罄,售罄,[],[],nan,nan,杭州兴耀建设集团有限公司,民电,民水,30.219946,120.220677,"{""service_num"": ""4006708287"", ""num"": """"}","{""57"": ""人车分流"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""人车分流"", ""装修交付"", ""轨交房"", ""多轨交"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/7ce364d8dfb2d6b421472658d875ee0c/275x206n.jpg,"[{""id"": ""7213449"", ""loupan_id"": ""245525"", ""station_id"": ""2621"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""604米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""江陵路"", ""distance_raw"": ""604""}, {""id"": ""7254626"", ""loupan_id"": ""245525"", ""station_id"": ""120851"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""609米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""江陵路站"", ""distance_raw"": ""609""}, {""id"": ""7254629"", ""loupan_id"": ""245525"", ""station_id"": ""120850"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""1313米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""星民站"", ""distance_raw"": ""1313""}]",滨江区滨盛路江陵路路口（项目现场）
238591,德信中外公寓,杭州,18,钱塘区,20267,金沙湖,20270,杭州钱塘区金沙湖华景街与银沙路交叉口西北,nan,nan,nan,nan,70-178㎡,26m²,100m²,"[{""id"": 31617, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 70}, {""id"": 31615, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 90}, {""id"": 31614, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 112}, {""id"": 31616, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 31613, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 121}, {""id"": 31612, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125}, {""id"": 16158, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 126}, {""id"": 16154, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 127}, {""id"": 16153, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 133}, {""id"": 16156, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 138}, {""id"": 79481, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 139}, {""id"": 16151, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 142}, {""id"": 72859, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 178}]",2/3/4/5室,"2室户型,3室户型,4室户型,5室户型",nan,nan,nan,nan,[],"{多层,高层}","{多层,高层}",70年,2.8,30%,900,毛坯,nan,住宅,nan,2.25元/㎡/月,nan,1080,1:1.2,售罄,售罄,售罄,[],[],nan,nan,浙江德信金沙置业有限公司,民电,民水,30.319734,120.335283,"{""service_num"": ""4006708287"", ""num"": """"}","{""57"": ""人车分流"", ""56"": ""车位充足"", ""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""人车分流"", ""车位充足"", ""轨交房"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/c4d380f2f458050f2e53d656aec766ad/275x206n.jpg,"[{""id"": ""7212791"", ""loupan_id"": ""238591"", ""station_id"": ""2639"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""794米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""金沙湖"", ""distance_raw"": ""794""}, {""id"": ""7212798"", ""loupan_id"": ""238591"", ""station_id"": ""2640"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""1118米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""高沙路"", ""distance_raw"": ""1118""}]",杭州下沙星河北路与学林街交叉口
245340,千岛湖七星花园,杭州,18,淳安县,17455,淳安,17456,杭州淳安县淳安千岛湖镇阳光路15号,nan,nan,nan,nan,133-212㎡,42774m²,76000m²,"[{""id"": 147713, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 133}, {""id"": 147708, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 139}, {""id"": 147711, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 212}]",3/5室,"3室户型,5室户型",nan,nan,nan,nan,[],"{多层,高层}","{多层,高层}",70年,1.3,40%,395,毛坯,nan,住宅,nan,1.3元/㎡/月,nan,382,1:1,售罄,售罄,售罄,"[""淳售许字(2012)第000011号"", ""淳售许字(2011)第000016号"", ""淳售许字(2011)第000013号""]",[],nan,nan,nan,民电,民水,29.620607,119.051058,"{""service_num"": ""4006708287"", ""num"": """"}","{""53"": ""高绿化率"", ""52"": ""低容积"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型""}","[""高绿化率"", ""低容积"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/7f1716b94c17781f3cfe3a83cb474ed5/275x206n.jpg,[],千岛湖新安南路15号（千岛湖广场南侧）
244348,开元广场,杭州,18,萧山区,1807,南部卧城,5138,"杭州萧山区南部卧城西河路,近向旭路",nan,nan,nan,nan,nan,165334m²,700000m²,[],nan,nan,nan,nan,nan,nan,[],{},{},40年,nan,30%,1880,毛坯,nan,商业,nan,1元/㎡/月,nan,1500,1:0.8,售罄,售罄,售罄,"[""萧售备字(2015)第010号"", ""萧售许字(2013)第048号""]",[],nan,nan,浙江开元置业有限公司,商电,商水,30.139372,120.271384,"""""","{""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""54"": ""大型社区""}","[""轨交房"", ""配套纯熟"", ""便利店"", ""银行"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/278e4b14280b57af753e4cf8c1b3326f/275x206n.jpg,"[{""id"": ""7212039"", ""loupan_id"": ""244348"", ""station_id"": ""2662"", ""subway_id"": ""41"", ""city_id"": ""18"", ""distance"": ""706米"", ""status"": ""1"", ""last_update_time"": ""1774211226"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""曹家桥"", ""distance_raw"": ""706""}]",市心南路与向旭路路口；临时接待处：开元名都大酒店南大堂
400740,西溪蓝海,杭州,18,余杭区,1808,仓前,5146,"杭州余杭区仓前溪望路,近龙兴路",nan,nan,nan,nan,60-138㎡,40557m²,220105m²,"[{""id"": 239763, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 60}, {""id"": 239758, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 68}, {""id"": 152017, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 138}]",1/2/4室,商业户型,nan,nan,nan,nan,"[""2016-05-26"", ""2016-01-12"", ""2015-10-13""]",{高层},{高层},40年,3.5,25%,701,毛坯,nan,商业,nan,1.65元/㎡/月,nan,1629,1:2.3,售罄,售罄,售罄,"[""余售许字（2016）第00092号"", ""余售许字(2016)第00005号"", ""余售许字(2015)第00173号""]",[],nan,nan,杭州合能房地产开发有限公司,商电,商水,30.279326,120.014753,"""""","{""56"": ""车位充足"", ""9"": ""轨交房"", ""66"": ""公园""}","[""车位充足"", ""轨交房"", ""公园""]",https://pic4.ajkimg.com/display/xinfang/d806fcfae5e9b5c0e124c7c801bb8a15/275x206n.jpg,"[{""id"": ""7213515"", ""loupan_id"": ""400740"", ""station_id"": ""10694"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""1185米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""葛巷"", ""distance_raw"": ""1185""}]",文一西路与良睦路交叉口以南200米
298093,山水国际,杭州,18,富阳区,16786,鹿山新区,25395,杭州富阳区鹿山新区鹿山街道江城路398号,nan,nan,nan,nan,87-180㎡,106057m²,360000m²,"[{""id"": 148201, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 148200, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 96}, {""id"": 199620, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 133}, {""id"": 148199, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 110}, {""id"": 199614, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 180}]",2/3/4室,"2室户型,3室户型,4室户型",nan,nan,nan,nan,[],{高层},{高层},50年,1.92,35%,1384,毛坯,nan,商业,nan,2.2元/㎡/月,nan,1384,1:1,售罄,售罄,售罄,"[""富售许字(2016)第004号"", ""富售许字(2016)第005号"", ""富售许字(2015)第051号"", ""富售许字(2015)第045号"", ""富售许字(2015)第020号"", ""富售许字(2015)第001号"", ""富售许字(2014)第042号"", ""富售许字(2013)第052号"", ""富售许字(2013)第039号"", ""富售许字(2013)第031号"", ""富售许字(2013)第024号""]",[],杭州富阳山水置业有限公司,nan,杭州富阳山水置业有限公司,商电,商水,30.018248718421,119.93442022366,"""""","{""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型""}","[""配套纯熟"", ""便利店"", ""银行"", ""医院"", ""公园""]",https://pic4.ajkimg.com/display/xinfang/20221d05f9898e08136a4ead28111998/275x206n.jpg,[],富阳市依江路山水置业销售展示中心
389703,空港新天地,杭州,18,萧山区,1807,空港新城,5141,杭州萧山区空港新城靖江路与永盛路交叉口,nan,nan,nan,nan,45-52㎡,50000m²,200000m²,"[{""id"": 143596, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 45}, {""id"": 143604, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 52}]",1室,商业户型,nan,nan,nan,nan,[],{高层},{高层},40年,4,30%,2000,"毛坯,带装修",nan,商业,浙江开元物业管理股份有限公司,2.5元/㎡/月,nan,1700,1:0.85,售罄,售罄,售罄,"[""萧售许字(2016)第057号""]",[],nan,nan,德意控股集团有限公司,商电,商水,30.242685920551,120.4785012848,"""""","{""29"": ""装修交付"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""54"": ""大型社区""}","[""装修交付"", ""轨交房"", ""多轨交"", ""配套纯熟"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/54d98e34cc619d2cbd28405d90e472da/275x206n.jpg,"[{""id"": ""7213168"", ""loupan_id"": ""389703"", ""station_id"": ""120611"", ""subway_id"": ""12046"", ""city_id"": ""18"", ""distance"": ""147米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""19号线"", ""station_name"": ""永盛路站"", ""distance_raw"": ""147""}, {""id"": ""7214429"", ""loupan_id"": ""389703"", ""station_id"": ""10935"", ""subway_id"": ""1043"", ""city_id"": ""18"", ""distance"": ""265米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""永盛路"", ""distance_raw"": ""265""}]",萧山空港靖江路与永盛路交叉口
414320,中骏钱塘御景,杭州,18,萧山区,1807,钱江世纪城,5137,杭州萧山区钱江世纪城耕文路和纬十一路交界处,nan,nan,nan,nan,89-107㎡,55733m²,181525.25m²,"[{""id"": 204324, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 204330, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 95}, {""id"": 204332, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 107}, {""id"": 204334, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 107}]",3/4室,"3室户型,4室户型",nan,nan,nan,nan,[],{高层},{高层},70年,2.5,30%,1210,毛坯,nan,住宅,nan,3.4元/㎡/月,nan,1285,1:1,售罄,售罄,售罄,"[""萧售许字(2016)第103号：4幢、11幢、12幢"", ""萧售许字(2017)第004号""]",[],nan,nan,中骏置业,民电,民水,30.256840941551,120.31964500078,"""""","{""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""民办幼儿园"", ""公办幼儿园""]",https://pic4.ajkimg.com/display/xinfang/98678587ba98c6f262b76dc0383d8d67/275x206n.jpg,[],杭州耕文路和纬十一路交界处
238367,中海紫藤苑,杭州,18,西湖区,1804,三墩,1876,"杭州西湖区三墩镇苏嘉路(西陈路以西,苏嘉路以北,郑家路以南)",nan,nan,nan,nan,74-139㎡,住宅：50000m² 别墅：50000m²,住宅：120000m² 别墅：120000m²,"[{""id"": 15203, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 74}, {""id"": 15208, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 74}, {""id"": 15197, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 29942, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 15202, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 15205, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 15206, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 29940, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 29941, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 29947, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125}, {""id"": 29946, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 127}, {""id"": 15200, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 134}, {""id"": 29944, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 136}, {""id"": 29945, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 136}, {""id"": 15201, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 139}, {""id"": 29943, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 139}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],"{小高层,高层}","{小高层,高层}",住宅：70年 别墅：70年,住宅：2.5,住宅：30% 别墅：30%,住宅：1200 别墅：1200,住宅：带装修 别墅：带装修,nan,住宅,nan,住宅：1.75元/㎡/月,nan,住宅：840 别墅：840,nan,售罄,售罄,售罄,[],[],nan,nan,中海地产股份有限公司,住宅：民电,住宅：民水,30.328319386563,120.07984411216,"""""","{""29"": ""装修交付"", ""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""装修交付"", ""轨交房"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/e19eaa53b4b621d2152e2845ff846506/275x206n.jpg,"[{""id"": ""7211487"", ""loupan_id"": ""238367"", ""station_id"": ""120456"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""974米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""池华街"", ""distance_raw"": ""974""}]","西湖区金渡北路近古墩路金溪园项目底商(铭雅苑西侧,亲亲家园北)"
