楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
244790,盛世豪庭,青岛,30,市北区,3640,台东,3674,青岛市北区台东市北汉口路88号（汉口路威海路交界处）,nan,nan,nan,nan,59-140㎡,96000m²,12000m²,"[{""id"": 42962, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 59}, {""id"": 42964, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 61}, {""id"": 42965, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 65}, {""id"": 42960, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 80}, {""id"": 42961, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 140}]",1/2/4室,"1室户型,2室户型,4室户型",nan,nan,nan,nan,[],{高层},{高层},70年,5.97,35%,784,毛坯,nan,住宅,青岛戴维斯物业有限公司,1.8元/㎡/月,nan,600,nan,售罄,售罄,售罄,"[""青房注字2013第085号""]",[],nan,nan,香港德辉国际（集团）,民电,民水,36.098278,120.36613,"""""","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/0d02faad96d01aaad1d11976073f922b/275x206n.jpg,"[{""id"": ""7316187"", ""loupan_id"": ""244790"", ""station_id"": ""120433"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""442米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""海泊桥(海慈医疗)"", ""distance_raw"": ""442""}, {""id"": ""7315793"", ""loupan_id"": ""244790"", ""station_id"": ""120744"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""495米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""海泊桥(海慈医疗)"", ""distance_raw"": ""495""}, {""id"": ""7315791"", ""loupan_id"": ""244790"", ""station_id"": ""120743"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1232米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""海泊河公园"", ""distance_raw"": ""1232""}, {""id"": ""7315802"", ""loupan_id"": ""244790"", ""station_id"": ""120731"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1292米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""西吴家村"", ""distance_raw"": ""1292""}, {""id"": ""7313786"", ""loupan_id"": ""244790"", ""station_id"": ""120399"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""1467米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""台东"", ""distance_raw"": ""1467""}]",青岛市市北区汉口路88号
415169,青岛莱阳路8号,青岛,30,市南区,3639,西镇,3660,青岛市南区西镇莱阳路8号乙,nan,120000,120000元/㎡,首付549万，月供131161元,298-460㎡,住宅：28801m² 别墅：28801m²,住宅：34560m² 别墅：34560m²,"[{""id"": 749570, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 298}, {""id"": 452472, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 305}, {""id"": 758018, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 306}, {""id"": 742575, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 460}]",3/4室,"3室户型,4室户型",2016-09-30,2016年09月30日,2016年9月30日,2018年12月31日,"[""2018-03-19""]",{多层},{多层},住宅：70年 别墅：70年,住宅：1.2 别墅：1.2,住宅：30% 别墅：30%,住宅：65 别墅：65,住宅：毛坯 别墅：毛坯,已封顶，竣工时间：2018-12-31,住宅,青岛金地物业管理有限公司,住宅：15元/㎡/月 别墅：15元/㎡/月,nan,住宅：591 别墅：591,住宅：1:9.09 别墅：1:9.09,在售,在售,在售,"[""青房注字（2016）第061号""]","[""11#""]",山东中润商业管理有限公司,nan,青岛中润置业集团有限公司,住宅：民电,住宅：民水,36.062656,120.336791,"{""service_num"": ""4006708287"", ""num"": ""29720""}","{""559"": ""现房"", ""81"": ""大阳台"", ""56"": ""车位充足"", ""52"": ""低容积"", ""9"": ""轨交房"", ""8"": ""项目封顶"", ""74"": ""南北通透"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""64"": ""购物中心"", ""78"": ""大户型"", ""404"": ""客餐厅相连"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""82"": ""双卫生间"", ""90"": ""人气楼盘"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""263"": ""VR看房"", ""55"": ""小型社区""}","[""现房"", ""大阳台"", ""车位充足"", ""低容积"", ""轨交房""]",https://pic4.ajkimg.com/display/xinfang/a8bc55a1823cfde3d210ca3d354c79ee/275x206n.jpg,"[{""id"": ""7250008"", ""loupan_id"": ""415169"", ""station_id"": ""120727"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""393米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""人民会堂"", ""distance_raw"": ""393""}, {""id"": ""7168172"", ""loupan_id"": ""415169"", ""station_id"": ""4377"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""396米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""人民会堂"", ""distance_raw"": ""396""}, {""id"": ""7250007"", ""loupan_id"": ""415169"", ""station_id"": ""120728"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1162米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""信号山(青大附院)"", ""distance_raw"": ""1162""}, {""id"": ""7168168"", ""loupan_id"": ""415169"", ""station_id"": ""4376"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""1439米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""汇泉广场"", ""distance_raw"": ""1439""}]",市南区莱阳路8号乙
298445,琴诺尚德苑,青岛,30,胶州市,3647,胶州,3718,青岛胶州市胶州胶州西路223号（胶州西路以北梧州路以东）,nan,nan,nan,nan,79-98㎡,24800m²,39800m²,"[{""id"": 139384, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 78.7}, {""id"": 139382, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 97.53}]",2室,2室户型,nan,nan,nan,nan,[],{多层},{多层},70年,1.6,35%,310,毛坯,nan,住宅,nan,nan,nan,450,1:1.5,售罄,售罄,售罄,"[""青房注字(胶州)第2014068"", ""青房注字(胶州)第2014067""]",[],nan,nan,nan,民电,民水,36.298995265122,119.99677385434,"{""service_num"": ""4006708287"", ""num"": """"}","{""56"": ""车位充足"", ""52"": ""低容积"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""低容积"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/c69268e6342f0ba0b7a2a6b5d7b9889b/275x206n.jpg,[],青岛胶州市胶州西路223号
244782,御龙湾朗寓,青岛,30,黄岛区,4516,金沙滩,5214,青岛黄岛区金沙滩金沙滩国际旅游度假区内漓江西路46号（滨海大道与天目山路交汇处）,nan,nan,nan,nan,63-92㎡,20000m²,22547.63m²,"[{""id"": 60824, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 63}, {""id"": 60821, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 86}, {""id"": 60823, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 91}, {""id"": 60825, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 91}, {""id"": 60826, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 91}, {""id"": 60820, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 92}]",1/2室,"1室户型,2室户型",nan,nan,nan,nan,[],"{多层,高层}","{多层,高层}",70年,1.19,46%,205,毛坯,nan,住宅,青岛昆泉物业管理有限公司,2元/㎡/月,nan,145,1:0.7,售罄,售罄,售罄,[],[],nan,nan,青岛（报业集团）通产伟业房地产管理有限公司,民电,民水,35.960216,120.23432,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""79"": ""小户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""599"": ""省级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""高绿化率"", ""低容积"", ""旅游地产"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/270fa3f52f52339ec3a01daed59ebc77/275x206n.jpg,[],青岛经济技术开发区金沙滩国际旅游度假区内漓江西路46号（滨海大道与天目山路交汇处）
244781,海尔云海湾,青岛,30,黄岛区,4516,金沙滩,5214,青岛黄岛区金沙滩金沙滩,nan,nan,nan,nan,nan,住宅：133340m² 别墅：133340m²,住宅：250000m² 别墅：250000m²,[],nan,nan,nan,nan,nan,nan,[],{多层},{多层},住宅：70年 别墅：70年,住宅：1.87,住宅：30% 别墅：30%,nan,住宅：毛坯 别墅：毛坯,nan,住宅,nan,nan,nan,nan,nan,售罄,售罄,售罄,[],[],nan,nan,海尔地产,住宅：民电,住宅：民水,35.957617338809,120.24530568891,"{""service_num"": ""4006708287"", ""num"": """"}","{""52"": ""低容积"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""599"": ""省级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""低容积"", ""旅游地产"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/e4106a67961290ff22e74cf21c7e6942/275x206n.jpg,[],nan
413181,苏宁生活广场,青岛,30,李沧区,3642,李村,3690,青岛李沧区李村京口路、书院路、古镇路交汇处（维客广场西侧）,nan,nan,nan,nan,nan,10432m²,117000m²,[],nan,nan,nan,nan,nan,nan,[],{},{},40年,nan,28%,nan,毛坯,nan,标准写字楼,nan,nan,nan,nan,nan,售罄,售罄,售罄,[],[],nan,nan,nan,商电,商水,36.164064,120.431223,"""""","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/2fc2c30a468fd74123196127d8ec4bb0/275x206n.jpg,"[{""id"": ""7316704"", ""loupan_id"": ""413181"", ""station_id"": ""4361"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""111米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""李村"", ""distance_raw"": ""111""}, {""id"": ""7316281"", ""loupan_id"": ""413181"", ""station_id"": ""4493"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""209米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""李村"", ""distance_raw"": ""209""}, {""id"": ""7316279"", ""loupan_id"": ""413181"", ""station_id"": ""4492"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""1091米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""枣山路"", ""distance_raw"": ""1091""}, {""id"": ""7316280"", ""loupan_id"": ""413181"", ""station_id"": ""4494"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""1114米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""李村公园"", ""distance_raw"": ""1114""}, {""id"": ""7316700"", ""loupan_id"": ""413181"", ""station_id"": ""4360"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""1162米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""君峰路"", ""distance_raw"": ""1162""}, {""id"": ""7316702"", ""loupan_id"": ""413181"", ""station_id"": ""4362"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""1318米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""万年泉路"", ""distance_raw"": ""1318""}]",李沧区京口路、君峰路交汇处（蓝海大饭店附近）
413187,万丽国际广场,青岛,30,即墨区,3645,即墨市,3714,青岛即墨区即墨市振华街128号,nan,nan,nan,nan,70㎡,15333m²,109054m²,"[{""id"": 368993, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 70.31}]",1室,商业户型,2014-12-20,2014年12月20日,2014年12月20日,2018年1月31日,"[""2014-12-08""]",{高层},{高层},40年,5.5,15%,180,"毛坯,带装修",nan,商业,nan,6元/㎡/月,nan,847,1:4.5,售罄,售罄,售罄,"[""即房(2014)注字053""]",[],青岛麦佳贺置业有限公司,nan,nan,商电,商水,36.395557,120.458531,"""""","{""559"": ""现房"", ""81"": ""大阳台"", ""56"": ""车位充足"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""85"": ""主卧套房"", ""213"": ""地铁沿线"", ""55"": ""小型社区""}","[""现房"", ""大阳台"", ""车位充足"", ""装修交付"", ""轨交房""]",https://pic4.ajkimg.com/display/xinfang/c583c6c1c9d2116dde52b440a88e2491/275x206n.jpg,"[{""id"": ""7316775"", ""loupan_id"": ""413187"", ""station_id"": ""4440"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""657米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""蓝鳌路"", ""distance_raw"": ""657""}, {""id"": ""7316788"", ""loupan_id"": ""413187"", ""station_id"": ""4439"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""1022米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""文化路"", ""distance_raw"": ""1022""}, {""id"": ""7314561"", ""loupan_id"": ""413187"", ""station_id"": ""121268"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""1219米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""文峰路"", ""distance_raw"": ""1219""}, {""id"": ""7316778"", ""loupan_id"": ""413187"", ""station_id"": ""4441"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""1270米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""鹤山路"", ""distance_raw"": ""1270""}]",即墨市烟青路633号
452174,瑞海澜山商铺,青岛,30,西海岸新区,3646,长江路,24950,青岛西海岸新区长江路东岳东路2717号,nan,30000,30000元/㎡,nan,nan,80047.77m²,107775.77m²,[],nan,nan,2017-03-13,2017年03月13日,2017年3月13日,2018年10月31日,[],{},{},40年,nan,35%,nan,毛坯,nan,临街店铺,青岛瑞港物业管理有限公司,1.9元/㎡/月,nan,647,1:0.9,售罄,售罄,售罄,[],[],青岛瑞港置业有限公司,nan,nan,商电,商水,35.933233260147,120.12876319743,"{""service_num"": ""4006708287"", ""num"": ""19555""}","{""559"": ""现房"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""46"": ""沿街商铺"", ""68"": ""医院"", ""226"": ""商业街区"", ""218"": ""综合商铺"", ""216"": ""社区底商"", ""98"": ""改善置业""}","[""现房"", ""轨交房"", ""多轨交"", ""沿街商铺"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/2ea622cd5e7946f1358cdd4c4aab18f4/275x206n.jpg,"[{""id"": ""7316058"", ""loupan_id"": ""452174"", ""station_id"": ""121251"", ""subway_id"": ""12071"", ""city_id"": ""30"", ""distance"": ""1092米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""毛家山(黄海学院)"", ""distance_raw"": ""1092""}, {""id"": ""7315110"", ""loupan_id"": ""452174"", ""station_id"": ""4406"", ""subway_id"": ""123"", ""city_id"": ""30"", ""distance"": ""1258米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""西海岸快线"", ""station_name"": ""学院路"", ""distance_raw"": ""1258""}, {""id"": ""7316057"", ""loupan_id"": ""452174"", ""station_id"": ""121252"", ""subway_id"": ""12071"", ""city_id"": ""30"", ""distance"": ""1468米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""西门外"", ""distance_raw"": ""1468""}]",青岛黄岛区东岳东路2717号
383719,国都名城,青岛,30,胶州市,3647,胶州,3718,青岛胶州市胶州兰州东路561号,nan,nan,nan,nan,82-122㎡,56715m²,87641m²,"[{""id"": 143824, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 82}, {""id"": 143823, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 83.27}, {""id"": 143708, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 143705, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87.62}, {""id"": 143825, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 143828, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 92}, {""id"": 143827, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 105}, {""id"": 143829, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 105}, {""id"": 143826, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 122}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],"{多层,小高层}","{多层,小高层}",70年,nan,nan,703,nan,nan,住宅,nan,nan,nan,589,1:0.9,售罄,售罄,售罄,"[""青房注字(胶州)第2013041"", ""青房注字(胶州)第2013077""]",[],nan,nan,nan,民电,民水,36.297202825816,120.06080708559,"{""service_num"": ""4006708287"", ""num"": """"}","{""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""配套纯熟"", ""银行"", ""学校"", ""医院"", ""商业街""]",https://pic4.ajkimg.com/display/xinfang/f0a15fdb8b994b5e239695094dc5f265/275x206n.jpg,[],兰州东路561号
241726,御景世家,青岛,30,莱西市,3648,莱西,3720,青岛莱西市莱西青岛路518号（莱西新市政府西500米）,nan,nan,nan,nan,73-135㎡,住宅：156510m² 别墅：156510m²,住宅：250000m² 别墅：250000m²,"[{""id"": 43308, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 73.3}, {""id"": 43310, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88.61}, {""id"": 43309, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 87.17}, {""id"": 43312, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 113.14}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{多层},{多层},住宅：70年 别墅：70年,住宅：0.8,住宅：45% 别墅：45%,住宅：700 别墅：700,住宅：毛坯 别墅：毛坯,nan,住宅,nan,住宅：0.3元/㎡/月,nan,住宅：700 别墅：700,nan,售罄,售罄,售罄,[],[],nan,nan,青岛海名园,住宅：民电,住宅：民水,36.894205112911,120.51286269099,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""高绿化率"", ""低容积"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/7cbaadbb5636be4c5f5f1dc0c5e18274/275x206n.jpg,[],福州北路135号鼎都大厦1号楼311室
