楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
243020,碧海蓝天三期,三亚,51,天涯区,10251,三亚湾,4932,三亚天涯区三亚湾三亚湾路碧海蓝天三期（425医院旁）,,,,,62-118㎡,1132m²,47423m²,"[{""id"": 212134, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 62.04}, {""id"": 212138, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 68.59}, {""id"": 212137, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 73.31}, {""id"": 212129, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 76.35}, {""id"": 212139, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 86.35}, {""id"": 212131, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 88.11}, {""id"": 212140, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 70.23}, {""id"": 212132, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117.84}]",1/2/3室,"1室户型,2室户型,3室户型",,,,,[],{高层},高层,70年,3.16,48%,888,带装修,,住宅,,2.5元/㎡/月,,260,1:0.3,尾盘,尾盘,尾盘,"[""三房预许字（展期）【2011】030号}""]",[],,,三亚鹰君置业有限公司,民电,民水,18.271891,109.495254,"""""","{""53"": ""高绿化率"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型""}","[""高绿化率"", ""装修交付"", ""旅游地产"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/7e3fea6e7ca3c1ca41b20cdf026061b7/275x206n.jpg,[],三亚市三亚湾路碧海蓝天营销中心(425医院旁)
487975,佳兆业海棠伴山,三亚,51,海棠区,10252,海棠湾,4938,三亚海棠区海棠湾南田路16号,,373,373万元/套起,首付55万，月供13367元,102-123㎡,住宅：36943m² 别墅：36943m²,住宅：57945m² 别墅：57945m²,"[{""id"": 638835, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 102}, {""id"": 640212, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 116}, {""id"": 695060, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 116}, {""id"": 695059, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 109}, {""id"": 640210, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 113}]",别墅、3/4室,"3室户型,4室户型,别墅户型",2021-02-08,2021年02月08日,2021年2月8日,2023年12月30日,"[""2021-08-27"", ""2020-11-12"", ""2021-03-31"", ""2020-10-15""]",{花园洋房},住宅：花园洋房 别墅：叠加别墅,住宅：70年 别墅：70年,住宅：1.2 别墅：1.2,住宅：40% 别墅：40%,住宅：421 别墅：434,住宅：带装修 别墅：带装修,已封顶，竣工时间：2023-12-31,住宅,,住宅：6元/㎡/月 别墅：10元/㎡/月,,住宅：455,住宅：1:1.08,在售,在售,在售,"[""三房预许字[2021]76号"", ""三房预许字［2020］56号"", ""三房预许字［2021］34号"", ""三房预许字［2020］50号""]","[""6#、7#、8#、9#、12#、13#"", ""2#、3#、4#、11#、16#"", ""5#、10#、15#"", ""1#""]",三亚佰佳世纪房地产开发有限公司,佳兆业集团,三亚佰佳世纪房地产开发有限公司,住宅：民电,住宅：民水,18.410407937371,109.71899457187,"""""","{""559"": ""现房"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""8"": ""项目封顶"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""现房"", ""高绿化率"", ""低容积"", ""装修交付"", ""项目封顶""]",https://pic4.ajkimg.com/display/xinfang/e79ece43c61f911460a87156f633918f/275x206n.jpg,[],海南省三亚市海棠湾南田温泉度假区（海棠湾南田路16号）
249095,三亚地中海湾,三亚,51,天涯区,10251,三亚湾,4932,三亚天涯区三亚湾中海路,,,,,85-88㎡,14219m²,45943m²,"[{""id"": 415309, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 105109, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85.12}, {""id"": 90689, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}]",2室,2室户型,,,,,"[""2016-01-26"", ""2013-10-10""]","{小高层,高层}",小高层、高层,70年,2.5,35%,413,毛坯,,住宅,,4.3元/㎡/月,,434,1:1.1,尾盘,尾盘,尾盘,"[""三房预许字[2016]10号"", ""三房预许字[2013]27号""]","[""1#、2#"", ""1#、3#""]",三亚益乐嘉房地产开发有限公司,,三亚益乐嘉房地产开发有限公司,民电,民水,18.29473,109.454792,"""""","{""56"": ""车位充足"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街""}","[""车位充足"", ""配套纯熟"", ""银行"", ""学校"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/2adf4f37501c6a4935b5b9f133a0ef08/275x206n.jpg,[],三亚市三亚湾路海坡开发区
243082,珠江南田57°,三亚,51,海棠区,10252,海棠湾,4938,三亚海棠区海棠湾珠江南田温泉度假区,,,,,46-196㎡,66660m²,24000m²,"[{""id"": 52837, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 78}]",别墅,别墅户型,,,,,[],"{独栋别墅,联排别墅,叠加别墅}",独栋别墅、联排别墅、叠加别墅,70年,0.36,60%,360,,,别墅,广州珠江物业酒店管理公司,9.6元/㎡/月,,,1:1,尾盘,尾盘,尾盘,[],[],,,海南珠江国际置业,民电,民水,18.414554,109.735909,"""""","{""53"": ""高绿化率"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""66"": ""公园"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型""}","[""高绿化率"", ""旅游地产"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/b9a287246e4f4aa8fff28eef6a0240f4/275x206n.jpg,[],三亚海棠湾珠江南田温泉度假区；接待中心：三亚市大东海珠江花园酒店
249610,凤凰山居,三亚,51,天涯区,10251,河西,4934,三亚天涯区河西天涯区荔枝岭路58号,,,,,92-118㎡,124212.8m²,227394.36m²,"[{""id"": 641399, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 92}, {""id"": 641404, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 103}, {""id"": 641421, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 118}, {""id"": 641402, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 96}]",2/3室,"2室户型,3室户型",,,,,[],"{小高层,高层}",小高层、高层,70年,,32%,2000,,,住宅,,2元/㎡/月,,2000,1:1,尾盘,尾盘,尾盘,"[""三房预许字【2015】40号""]",[],,,,民电,民水,18.332392010443,109.4718123723,"""""","{""76"": ""厨卫全明"", ""74"": ""南北通透"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""78"": ""大户型"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""83"": ""双阳台"", ""263"": ""VR看房"", ""54"": ""大型社区""}","[""厨卫全明"", ""南北通透"", ""银行"", ""学校"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/16ffd1de40d789ae3fb9318e9d4ace34/275x206n.jpg,[],天涯区荔枝岭路58号
525802,吉祥16号,三亚,51,天涯区,10251,凤凰镇,23661,三亚天涯区凤凰镇三亚市天涯区凤凰镇新居村路吉祥16号,,39000,39000元/㎡,首付67万，月供16126元,130-229㎡,38322.87m²,132439.69m²,"[{""id"": 837245, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 130}, {""id"": 837273, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 190}, {""id"": 837275, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 199}, {""id"": 837279, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 229}, {""id"": 837269, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 143}]",2/3/4室,"2室户型,3室户型,4室户型",2025-01-01,2025年01月01日,2025年1月1日,2025年10月,"[""2025-04-29"", ""2024-12-23""]",{},,70年,2.5,40%,649,带装修,,住宅,海南滨江吉祥物业管理服务有限公司,5.98元/㎡/月,,841,1:1.3,在售,在售,在售,"[""XSSY2025042900086"", ""XSSY2024122300061""]","[""1#、3#、2#、5#、4#"", ""10#、11#、8#、9#、6#、7#、12#、13#""]",海建吉祥（三亚）置业有限公司,吉祥置业,海南吉祥置业有限公司,民电,民水,18.301149,109.460034,"{""service_num"": ""4006708287"", ""num"": ""107035""}","{""723"": ""第四代住宅"", ""56"": ""车位充足"", ""53"": ""高绿化率"", ""31"": ""大平层"", ""29"": ""装修交付"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""60"": ""海景地产"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""403"": ""私密性好"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""90"": ""人气楼盘"", ""744"": ""好房子"", ""541"": ""3D沙盘"", ""540"": ""日照模拟"", ""280"": ""商圈热盘"", ""279"": ""品质好房"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""第四代住宅"", ""车位充足"", ""高绿化率"", ""大平层"", ""装修交付""]",https://pic4.ajkimg.com/display/xinfang/f8ed97d2b2e030d3de5cd4c36abccd19/275x206n.jpg,[],三亚市天涯区凤凰镇新居村路吉祥16号营销中心
243015,亚龙湾西山渡,三亚,51,吉阳区,10250,亚龙湾,4936,三亚吉阳区亚龙湾国际旅游度假区太阳湾路,,,,,131-473㎡,别墅：119706m² 住宅：119706m²,别墅：87018m² 住宅：87018m²,"[{""id"": 212404, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 138}, {""id"": 212405, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 163}]",别墅、3室,"3室户型,别墅户型",,,,,[],"{独栋别墅,叠加别墅}",别墅：独栋别墅、叠加别墅,别墅：40年 住宅：70年,别墅：0.45 住宅：0.45,别墅：66% 住宅：66%,别墅：275 住宅：275,别墅：毛坯 住宅：毛坯,,别墅,远洋亿家物业服务股份有限公司三亚分公司,别墅：13.8元/㎡/月 住宅：9.8元/㎡/月,,别墅：365 住宅：365,别墅：1:1.3 住宅：1:1.3,尾盘,尾盘,尾盘,"[""三房预许字（展期）【2013】7号""]",[],,,南丰中国（香港）,别墅：民电,别墅：民水,18.226346,109.618892,"""""","{""56"": ""车位充足"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""31"": ""大平层"", ""63"": ""旅游地产"", ""70"": ""银行"", ""78"": ""大户型"", ""55"": ""小型社区""}","[""车位充足"", ""高绿化率"", ""低容积"", ""大平层"", ""旅游地产""]",https://pic4.ajkimg.com/display/xinfang/ac59fc138cf1b9f4d342e53abe429e27/275x206n.jpg,[],三亚市亚龙湾国家旅游度假区太阳湾路
523161,保利栖悦,三亚,51,崖州区,10253,崖州湾,10257,三亚崖州区崖州湾科技城甘农大道南侧,,12800,12800元/㎡,,100㎡,58700m²,186000m²,"[{""id"": 820655, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}, {""id"": 820656, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}]",3室,3室户型,2022-06-01,2022年06月01日,2022年6月1日,2022年12月31日,"[""2022-07-29""]",{},,,,,,,已竣工，竣工时间：2022-12-31,住宅,,,,,,尾盘,尾盘,尾盘,"[""现房[2022]3号""]","[""2#、1#、5#、3#、7#、6#、9#、8#、11#、10#""]",保利（三亚）房地产开发有限公司,保利集团,,民电,民水,18.352247,109.176178,"{""service_num"": ""4006708287"", ""num"": ""102405""}","{""559"": ""现房"", ""557"": ""项目竣工"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""596"": ""安居房"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/37083e91ea21a6bea6c6f523dafca07f/275x206n.jpg,[],三亚崖州湾科技城甘农大道南侧
528213,超级地中海·憘悦,三亚,51,海棠区,10252,海棠湾,4938,三亚海棠区海棠湾风塘路3组,,,,,188-342㎡,93611m²,230000m²,"[{""id"": 852789, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 188}, {""id"": 852788, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 233}, {""id"": 852787, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 242}, {""id"": 852786, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 272}, {""id"": 852785, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 279}, {""id"": 852784, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 342}]",3/4/5室,"3室户型,4室户型,5室户型",,,,,[],{},,70年,,40%,,,,住宅,,,,1345,,在售,在售,在售,"[""三房预许字（展期）【2019】17号""]",[],三亚复信投资有限公司,复星集团,,民电,民水,18.365579,109.735602,"{""service_num"": ""4006708287"", ""num"": ""14759""}","{""53"": ""高绿化率"", ""31"": ""大平层"", ""72"": ""配套纯熟"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""408"": ""全明空间"", ""92"": ""热搜盘"", ""280"": ""商圈热盘"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""高绿化率"", ""大平层"", ""配套纯熟"", ""学校"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/ec020323d03bd47e352fabc983eaf314/275x206n.jpg,[],三亚海棠湾亚特兰蒂斯酒店L层 超级地中海·憘悦城市展厅
243189,阳光山海湾,三亚,51,吉阳区,10250,大东海,4937,三亚吉阳区大东海榆林大道501号,,,,,47-117㎡,27900m²,70000m²,"[{""id"": 50444, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 46.51}, {""id"": 50445, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 49.99}, {""id"": 50443, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 51.49}, {""id"": 50442, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 51.68}, {""id"": 50441, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 53.48}, {""id"": 50447, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 55.82}, {""id"": 50446, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 60.87}, {""id"": 50448, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 62.59}, {""id"": 50449, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 62.59}, {""id"": 50451, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 110.79}, {""id"": 50470, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117.01}]",1/3室,"1室户型,3室户型",,,,,[],{小高层},小高层,,2,65%,1008,带装修,,住宅,三亚天泓房地产投资开发有限公司,9元/㎡/月,,450,1:1,尾盘,尾盘,尾盘,[],[],,,三亚天泓房地产投资开发有限公司,民电,民水,18.242428,109.551537,"""""","{""53"": ""高绿化率"", ""29"": ""装修交付"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""79"": ""小户型"", ""78"": ""大户型""}","[""高绿化率"", ""装修交付"", ""旅游地产"", ""配套纯熟"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/af1995d96ef3b7e17675fae2c3036876/275x206n.jpg,[],海南省三亚市榆林大道501号
