楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
409361,万科金域澜湾,上海,11,浦东,7,临港新城,150,上海浦东临港新城雪绒花路369弄,外郊环,,,,75-131㎡,104361.1m²,158924.18m²,"[{""id"": 181992, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 75}, {""id"": 182000, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 278639, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 105}, {""id"": 278641, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 131}]",2/3室,"2室户型,3室户型",,,,,[],"{多层,花园洋房}",多层、花园洋房,70年,1.2,35%,1355,毛坯,,住宅,,3.5~4.2元/㎡/月,,1263,1：0.9,售罄,售罄,售罄,"[""浦东新区房管(2016)预字0000414号"", ""浦东新区房管(2018)预字0000110号""]",[],,,上海万科投资管理有限公司、上海港城开发（集团）有限公司、碧桂园,民电,民水,30.921302,121.930513,"{""service_num"": ""4006708287"", ""num"": """"}","{""52"": ""低容积"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""15"": ""外郊环"", ""78"": ""大户型"", ""641"": ""寄宿制中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""602"": ""一级园"", ""601"": ""示范园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""248"": ""临港自贸区""}","[""低容积"", ""轨交房"", ""多轨交"", ""外郊环"", ""大户型""]",https://pic4.ajkimg.com/display/xinfang/9f4d750680d56b7d6832fcc5b4f3db58/275x206n.jpg,"[{""id"": ""7259568"", ""loupan_id"": ""409361"", ""station_id"": ""121499"", ""subway_id"": ""12082"", ""city_id"": ""11"", ""distance"": ""977米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""南枫线"", ""station_name"": ""滴水湖"", ""distance_raw"": ""977""}, {""id"": ""7198160"", ""loupan_id"": ""409361"", ""station_id"": ""3012"", ""subway_id"": ""58"", ""city_id"": ""11"", ""distance"": ""1331米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""16号线"", ""station_name"": ""滴水湖"", ""distance_raw"": ""1331""}]",雪绒花路301弄（近临港大道）
513550,天安1号,上海,11,闵行区,11,七宝,110,上海闵行区七宝紫琅路188弄,中外环,98000,98000元/㎡,首付129万，月供31125元,100-193㎡,155097.5m²,78322.99m²,"[{""id"": 877369, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 100}, {""id"": 877370, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 100}, {""id"": 877373, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 113}, {""id"": 877374, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 113}, {""id"": 765939, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 130}, {""id"": 785170, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 130}, {""id"": 839440, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 131}, {""id"": 839441, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 131}, {""id"": 877375, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 134}, {""id"": 839438, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 150}, {""id"": 839439, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 150}, {""id"": 847866, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 150}, {""id"": 839433, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 175}, {""id"": 839434, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 175}, {""id"": 785171, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 193}, {""id"": 785172, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 150}, {""id"": 785173, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 150}, {""id"": 839437, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 150}, {""id"": 884536, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 150}, {""id"": 884537, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 150}]",2/3/4室,"2室户型,3室户型,4室户型",2025-12-06,2025年12月06日,2025年12月6日,2027年6月,"[""2025-05-06"", ""2025-08-26"", ""2025-08-26"", ""2025-11-26"", ""2025-11-26"", ""2024-11-04"", ""2024-08-14"", ""2024-05-28"", ""2022-10-28""]",{高层},高层,70年,1.94,35%,2206,带装修,在建中，竣工时间：暂无数据,住宅,港力物业管理（上海）有限公司,12元/㎡/月,,3446,1:1.53,在售,在售,在售,"[""闵行房管(2025)预字0000106号"", ""闵行房管(2025)预字0000246号"", ""闵行房管(2025)预字0000245号"", ""闵行房管(2025)预字0000398号"", ""闵行房管(2025)预字0000399号"", ""闵行房管(2024)预字0000328号"", ""闵行房管（2024）预字0000223号"", ""闵行房管（2024）预字0000128号"", ""闵行房管（2022）预字0000268号""]","[""46幢"", ""30幢"", ""49幢"", ""54幢、42幢"", ""32幢"", ""B-31#、B-39#"", ""B-26-1#、B-22#、B-20#"", ""C-6-2#、C-6-1#、C-7#、C-9#、C-8#、C-5#、C-2#、C-3#、C-4#、C-1-1#、C-1-2#""]",上海海峡思泉房地产有限公司,,上海海峡思泉房地产有限公司,民电,民水,31.16803776293,121.37492884776,"{""service_num"": ""4006708287"", ""num"": ""15689""}","{""56"": ""车位充足"", ""52"": ""低容积"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""7"": ""项目在建"", ""13"": ""中外环"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""91"": ""热评楼盘"", ""90"": ""人气楼盘"", ""716"": ""24年五批次"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""548"": ""22年六批次"", ""541"": ""3D沙盘"", ""263"": ""VR看房"", ""54"": ""大型社区"", ""50"": ""品牌开发商""}","[""车位充足"", ""低容积"", ""装修交付"", ""轨交房"", ""厨卫全明""]",https://pic4.ajkimg.com/display/xinfang/2fe25c68c8e5d0d269b3b0d601a35201/275x206n.jpg,"[{""id"": ""7190568"", ""loupan_id"": ""513550"", ""station_id"": ""3242"", ""subway_id"": ""67"", ""city_id"": ""11"", ""distance"": ""725米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""9号线"", ""station_name"": ""星中路"", ""distance_raw"": ""725""}]",上海市闵行区紫琅路33号
533486,绿城宸玺潮鸣,上海,11,青浦区,19,青浦新城,166,"上海青浦区青浦新城东至75-05地块,南至绿地,西至晙泽路,北至绿地",外郊环,,,,120-170㎡,住宅：9690.85m²,住宅：17443.53m²,"[{""id"": 889604, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 120}, {""id"": 889603, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125}, {""id"": 889605, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 170}, {""id"": 889606, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 170}]",3/4室,"3室户型,4室户型",,,,,[],{高层},住宅：高层 别墅：叠加别墅,住宅：70年 别墅：70年,住宅：1.8 别墅：1.8,住宅：35% 别墅：35%,,,,住宅,,,,,,待售,待售,待售,[],[],上海浙诚宇置业有限公司,,,住宅：民电,住宅：民水,31.165863,121.135584,"{""service_num"": ""4006708287"", ""num"": ""65336""}","{""52"": ""低容积"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""10"": ""多轨交"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""90"": ""人气楼盘"", ""641"": ""寄宿制中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""541"": ""3D沙盘"", ""540"": ""日照模拟"", ""263"": ""VR看房"", ""55"": ""小型社区""}","[""低容积"", ""轨交房"", ""厨卫全明"", ""南北通透"", ""卧室全朝南""]",https://pic4.ajkimg.com/display/xinfang/8b247afe8348afa638cd0ed0531a64b7/275x206n.jpg,"[{""id"": ""7330103"", ""loupan_id"": ""533486"", ""station_id"": ""6297"", ""subway_id"": ""203"", ""city_id"": ""11"", ""distance"": ""392米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""17号线"", ""station_name"": ""青浦新城"", ""distance_raw"": ""392""}, {""id"": ""7330098"", ""loupan_id"": ""533486"", ""station_id"": ""121527"", ""subway_id"": ""12085"", ""city_id"": ""11"", ""distance"": ""444米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""示范区线"", ""station_name"": ""青浦新城"", ""distance_raw"": ""444""}]",
248212,永新璟苑,上海,11,徐汇区,5,徐家汇,41,上海徐汇区徐家汇辛耕路81弄永新世纪11-12号楼,内环内,,,,,15000m²,38000m²,[],,,,,,,[],"{高层,超高层}",高层、超高层,70年,3.6,30%,212,带装修,,住宅,,,,102,,尾盘,尾盘,尾盘,[],[],,,上海宏伊置业有限公司,民电,民水,31.199732914832,121.4510777987,"{""service_num"": ""4006708287"", ""num"": """"}","{""29"": ""装修交付"", ""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""641"": ""寄宿制中学"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""600"": ""市级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""装修交付"", ""内环内"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/a1e6c6865bb60f1921c56b2167443ccc/275x206n.jpg,[],辛耕路81弄11号楼30层
523965,世纪·臻邸,上海,11,浦东,7,陆家嘴滨江,60,上海浦东陆家嘴滨江向城路295、297号,内环内,131800,131800元/㎡,首付212万，月供51105元,150-248㎡,9143.29m²,4340.91m²,"[{""id"": 828586, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 150}, {""id"": 828585, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 151}, {""id"": 864415, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 179}, {""id"": 864412, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 244}, {""id"": 864421, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 248}]",3/4室,"3室户型,4室户型",2024-07-12,2024年07月12日,2024年7月12日,2026年,"[""2024-06-27""]",{},,70年,4.74,,27,带装修,在建中，竣工时间：暂无数据,住宅,上海陆家嘴物业管理有限公司,12元/㎡/月,,33,,在售,在售,在售,"[""浦东新区房管(2024)预字0000170号""]","[""2#""]",上海陆家嘴金融贸易区联合发展有限公司,陆家嘴,,民电,民水,31.232404,121.53907,"{""service_num"": ""4006708287"", ""num"": ""103709""}","{""29"": ""装修交付"", ""11"": ""内环内"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""7"": ""项目在建"", ""10"": ""多轨交"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""718"": ""24年七批次"", ""641"": ""寄宿制中学"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""263"": ""VR看房"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""装修交付"", ""内环内"", ""轨交房"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/0275cbee220de8c9d9e45e4b985b5385/275x206n.jpg,"[{""id"": ""7258598"", ""loupan_id"": ""523965"", ""station_id"": ""3109"", ""subway_id"": ""62"", ""city_id"": ""11"", ""distance"": ""418米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""向城路"", ""distance_raw"": ""418""}, {""id"": ""7258590"", ""loupan_id"": ""523965"", ""station_id"": ""3229"", ""subway_id"": ""67"", ""city_id"": ""11"", ""distance"": ""695米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""9号线"", ""station_name"": ""世纪大道"", ""distance_raw"": ""695""}, {""id"": ""7258591"", ""loupan_id"": ""523965"", ""station_id"": ""3055"", ""subway_id"": ""60"", ""city_id"": ""11"", ""distance"": ""695米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""世纪大道"", ""distance_raw"": ""695""}, {""id"": ""7258594"", ""loupan_id"": ""523965"", ""station_id"": ""3153"", ""subway_id"": ""64"", ""city_id"": ""11"", ""distance"": ""695米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""世纪大道"", ""distance_raw"": ""695""}, {""id"": ""7258597"", ""loupan_id"": ""523965"", ""station_id"": ""3110"", ""subway_id"": ""62"", ""city_id"": ""11"", ""distance"": ""697米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""世纪大道"", ""distance_raw"": ""697""}, {""id"": ""7258593"", ""loupan_id"": ""523965"", ""station_id"": ""3154"", ""subway_id"": ""64"", ""city_id"": ""11"", ""distance"": ""983米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""浦电路"", ""distance_raw"": ""983""}, {""id"": ""7258595"", ""loupan_id"": ""523965"", ""station_id"": ""3152"", ""subway_id"": ""64"", ""city_id"": ""11"", ""distance"": ""1057米"", ""status"": ""1"", ""last_update_time"": ""1774209760"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""源深体育中心"", ""distance_raw"": ""1057""}, {""id"": ""7258592"", ""loupan_id"": ""523965"", ""station_id"": ""3054"", ""subway_id"": ""60"", ""city_id"": ""11"", ""distance"": ""1488米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""上海科技馆"", ""distance_raw"": ""1488""}]",向城路17号
432061,金领国际商铺,上海,11,浦东,7,唐镇,173,上海浦东唐镇锦绣东路5111弄（近川沙路）,外郊环,,,,,26500m²,70000m²,[],,,2017-04-25,2017年04月25日,2017年4月25日,2018年9月30日,[],{},,40年,,35%,,毛坯,,临街店铺,上海隆庆物业管理有限公司,2.1元/㎡/月,,,1:1.5,尾盘,尾盘,尾盘,[],[],上海天歌置业有限公司,,,商电,商水,31.248831038309,121.63692531427,"{""service_num"": ""4006708287"", ""num"": """"}","{""559"": ""现房"", ""56"": ""车位充足"", ""15"": ""外郊环"", ""70"": ""银行"", ""65"": ""商业街"", ""64"": ""购物中心"", ""591"": ""放松限购"", ""216"": ""社区底商""}","[""现房"", ""车位充足"", ""外郊环"", ""银行"", ""商业街""]",https://pic4.ajkimg.com/display/xinfang/249e502db75d50d130cc4002b2da739f/275x206n.jpg,[],浦东新区川沙路1666弄
411738,华谊禄丰苑,上海,11,嘉定区,14,嘉定新城,137,上海嘉定区嘉定新城澄浏中路1950号,郊环外,,,,87-129㎡,11868m²,23467.64m²,"[{""id"": 182589, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 182593, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 182575, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 182602, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 182578, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 182582, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 182583, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 90}, {""id"": 182572, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 91}, {""id"": 182573, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 91}, {""id"": 182595, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 107}, {""id"": 182605, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 108}, {""id"": 182597, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 129}]",2/3室,"2室户型,3室户型",,,,,[],{小高层},小高层,70年,2,35%,239,"毛坯,带装修",,住宅,,3.2元/㎡/月,,272,1:1.1,尾盘,尾盘,尾盘,[],[],,,,民电,民水,31.37647266632,121.29046857415,"{""service_num"": ""4006708287"", ""num"": """"}","{""56"": ""车位充足"", ""29"": ""装修交付"", ""16"": ""郊环外"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""55"": ""小型社区""}","[""车位充足"", ""装修交付"", ""郊环外"", ""大户型"", ""公办中学""]",https://pic4.ajkimg.com/display/xinfang/24bec036a365af76eef76908a04261cc/275x206n.jpg,[],澄浏中路1950号
470465,西班牙名苑商铺,上海,11,闵行区,11,梅陇,109,上海闵行区梅陇莲花南路182号,中外环,,,,,100313m²,80609.63m²,[],,,2019-04-01,2019年04月01日,2019年4月1日,2006年12月,[],{},,70年,,,751,,,临街店铺,上海欣源物业管理有限公司,4.13元/㎡/月,,,,售罄,售罄,售罄,[],[],上海欣源置业发展（集团）有限公司,,上海欣源置业发展有限公司,商电,商水,31.134993,121.412438,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""13"": ""中外环""}","[""轨交房"", ""中外环""]",https://pic4.ajkimg.com/display/xinfang/618752fb6150964f9ca5115edd2bd48c/275x206n.jpg,"[{""id"": ""7197567"", ""loupan_id"": ""470465"", ""station_id"": ""3038"", ""subway_id"": ""59"", ""city_id"": ""11"", ""distance"": ""850米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""莲花路"", ""distance_raw"": ""850""}]",莲花南路182号
466746,海玥虹桥金茂悦,上海,11,青浦区,19,华新镇,2257,上海青浦区华新镇华志路666弄,郊环外,45000,45000元/㎡,首付50万，月供12741元,75-144㎡,39754m²,102042m²,"[{""id"": 547555, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 75}, {""id"": 547557, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 85}, {""id"": 552459, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 85}, {""id"": 552460, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 99}, {""id"": 552461, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 144}]",2/3/4室,"2室户型,3室户型,4室户型",2020-10-14,2020年10月14日,2020年10月14日,2022年5月20日,"[""2020-05-02"", ""2020-09-29""]",{高层},高层,70年,1.8,35%,640,带装修,,住宅,,,,682,1:0.97,尾盘,尾盘,尾盘,"[""青浦房管（2020）预字0000074号"", ""青浦房管(2020)预字0000248号""]","[""1#、2#、3#、6#、7#"", ""4#、5#、8#、9#、10#""]",上海青玥房产有限公司,"中国金茂,上海建工",上海青玥房产有限公司,民电,民水,31.238313457576,121.23363219111,"""""","{""559"": ""现房"", ""52"": ""低容积"", ""29"": ""装修交付"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""16"": ""郊环外"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""641"": ""寄宿制中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""263"": ""VR看房"", ""130"": ""虹桥商务区"", ""50"": ""品牌开发商""}","[""现房"", ""低容积"", ""装修交付"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/ee8bcc0eb3d642b8b3f8c96e23793d36/275x206n.jpg,[],上海市青浦区华志路666弄
533167,港城·云湖,上海,11,浦东,7,临港新城,150,上海浦东临港新城水芸路707弄、云鹃路718弄,郊环外,34357,34357元/㎡,,93-189㎡,23969.5m²,47431.82m²,"[{""id"": 885561, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 93}, {""id"": 885562, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 93}, {""id"": 885559, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 139}, {""id"": 885560, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 183}, {""id"": 885558, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 178}]",2/3/4室,"2室户型,3室户型,4室户型",2026-03-31,2026年03月,2026年3月,,[],{小高层},小高层,70年,2,35%,132,带装修,已竣工，竣工时间：暂无数据,住宅,上海港城智慧空间物业服务有限公司,,,232,,待售,待售,待售,[],[],上海港辰置业有限公司,港城开发集团,上海港辰置业有限公司,民电,民水,30.908271,121.931425,"{""service_num"": ""4006708287"", ""num"": ""61313""}","{""557"": ""项目竣工"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""10"": ""多轨交"", ""16"": ""郊环外"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""641"": ""寄宿制中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""625"": ""寄宿制小学"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""422"": ""30日内开盘"", ""263"": ""VR看房"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""项目竣工"", ""装修交付"", ""轨交房"", ""厨卫全明"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/76da4c965f2bfb9727dd30c831d76f6d/275x206n.jpg,"[{""id"": ""7326925"", ""loupan_id"": ""533167"", ""station_id"": ""3012"", ""subway_id"": ""58"", ""city_id"": ""11"", ""distance"": ""815米"", ""status"": ""1"", ""last_update_time"": ""1774209761"", ""is_rail_loupan"": ""1"", ""subway_name"": ""16号线"", ""station_name"": ""滴水湖"", ""distance_raw"": ""815""}, {""id"": ""7326926"", ""loupan_id"": ""533167"", ""station_id"": ""121499"", ""subway_id"": ""12082"", ""city_id"": ""11"", ""distance"": ""1023米"", ""status"": ""1"", ""last_update_time"": ""1774209759"", ""is_rail_loupan"": ""1"", ""subway_name"": ""南枫线"", ""station_name"": ""滴水湖"", ""distance_raw"": ""1023""}]",临港软件园三号楼
