楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
513732,东城名郡甄府,青岛,30,即墨区,3645,创智新区,17473,青岛即墨区创智新区埠惜路369号,,7500,7500元/㎡,首付10万，月供2544元,84-115㎡,36000m²,54000m²,"[{""id"": 763819, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 84}, {""id"": 763816, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 95}, {""id"": 763856, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}, {""id"": 763817, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 103}, {""id"": 763820, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 107}, {""id"": 763818, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 115}]",2/3室,"2室户型,3室户型",2022-10-01,2022年10月01日,2022年10月1日,2024年8月中旬,"[""2025-01-15"", ""2024-10-25"", ""2024-09-23"", ""2023-09-14"", ""2023-03-07"", ""2022-01-11"", ""2022-10-09""]",{花园洋房},花园洋房,70年,1.5,35%,562,"毛坯,简装修",在建中，竣工时间：暂无数据,住宅,青岛鼎轩之雅物业管理有限公司,,,629,1:1.1,在售,在售,在售,"[""即房注字（2025）第001号"", ""即房注字（2024）第036号"", ""即房注字（2024）第026号"", ""即房注字(2023)第051号"", ""即房注字(2023)第007号"", ""即房注字(2023)第001号"", ""即房注字(2022)第066号""]","[""12#"", ""19#"", ""17#"", ""16#、20#"", ""15#、11#、13#"", ""6#"", ""14#、18#""]",青岛祥泰永置业有限公司,,青岛祥泰永置业有限公司,民电,民水,36.390642615543,120.51190138542,"{""service_num"": ""4006708287"", ""num"": ""17696""}","{""81"": ""大阳台"", ""56"": ""车位充足"", ""52"": ""低容积"", ""29"": ""装修交付"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""7"": ""项目在建"", ""32"": ""绿色住宅"", ""30"": ""花园洋房"", ""5"": ""低单价"", ""4"": ""低总价"", ""66"": ""公园"", ""78"": ""大户型"", ""406"": ""客厅朝南"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""82"": ""双卫生间"", ""638"": ""民办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""540"": ""日照模拟"", ""263"": ""VR看房""}","[""大阳台"", ""车位充足"", ""低容积"", ""装修交付"", ""厨卫全明""]",https://pic4.ajkimg.com/display/xinfang/1abb98893b3059961711904e8b65b9e7/275x206n.jpg,[],即墨区创智新区蓝鳌路与埠惜路交汇处
496055,万科新都会商铺,青岛,30,西海岸新区,3646,江山路,24949,青岛西海岸新区江山路嘉陵江路561号,,,,,53-85㎡,131900m²,413700m²,[],,,2022-01-13,2022年01月13日,2022年1月13日,2022年10月30日,[],{},,40年,,,600,毛坯,在建中，竣工时间：暂无数据,临街店铺,青岛万科物业服务有限公司,4.9元/㎡/月,,,,售罄,售罄,售罄,[],[],青岛万钜泷投资有限公司,万科集团,,商电,商水,35.989670972371,120.1617025747,"""""","{""559"": ""现房"", ""9"": ""轨交房"", ""7"": ""项目在建"", ""46"": ""沿街商铺"", ""216"": ""社区底商"", ""50"": ""品牌开发商""}","[""现房"", ""轨交房"", ""项目在建"", ""沿街商铺"", ""社区底商""]",https://pic4.ajkimg.com/display/xinfang/aed3daa45aa8fa07903245783998b21b/275x206n.jpg,"[{""id"": ""7316132"", ""loupan_id"": ""496055"", ""station_id"": ""121257"", ""subway_id"": ""12071"", ""city_id"": ""30"", ""distance"": ""808米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""扒山(滨海学院)"", ""distance_raw"": ""808""}, {""id"": ""7316129"", ""loupan_id"": ""496055"", ""station_id"": ""121258"", ""subway_id"": ""12071"", ""city_id"": ""30"", ""distance"": ""889米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""青大附院西海岸院区"", ""distance_raw"": ""889""}]",黄岛区江山路嘉陵江路561号
416335,海山慧谷,青岛,30,市北区,3640,湖岛,5193,青岛市北区湖岛南昌路23号（近嘉定山公园）,,,,,85-129㎡,20244m²,67960m²,"[{""id"": 240206, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 240207, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 96}, {""id"": 263201, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 113}, {""id"": 263200, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 129}]",2/3室,"2室户型,3室户型",,,,,[],{多层},多层,70年,2.17,30%,404,毛坯,,住宅,青岛恒福物业管理有限公司,1.9元/㎡/月,,404,1:1,售罄,售罄,售罄,"[""青房注字(2016)第154号"", ""青房注字(2017)第008号""]",[],,,,民电,民水,36.120354612196,120.37993084424,"""""","{""9"": ""轨交房"", ""71"": ""便利店"", ""66"": ""公园"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""600"": ""市级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""便利店"", ""公园"", ""大户型"", ""民办中学""]",https://pic4.ajkimg.com/display/xinfang/018473d4f605a01f8ad0e2b032d2e979/275x206n.jpg,"[{""id"": ""7315441"", ""loupan_id"": ""416335"", ""station_id"": ""121285"", ""subway_id"": ""1044"", ""city_id"": ""30"", ""distance"": ""816米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""嘉定山"", ""distance_raw"": ""816""}]",南昌路23号（近嘉定山公园）
501195,龙湖春江天越商铺,青岛,30,城阳区,3644,正阳路,3712,青岛城阳区正阳路城路356号,,28000,28000元/㎡,,,21296m²,58170.5m²,[],,,2021-08-28,2021年08月28日,2021年8月28日,2023年12月,[],{},,40年,,35%,243,毛坯,,临街店铺,青岛龙湖物业服务有限公司,6元/㎡/月,,,,售罄,售罄,售罄,[],[],青岛龙景润嘉置业有限公司,龙湖地产,青岛龙景润嘉置业有限公司,商电,商水,36.29873192612,120.42813831088,"""""","{""9"": ""轨交房"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""轨交房"", ""小型社区"", ""品牌开发商""]",https://pic4.ajkimg.com/display/xinfang/cbe4c89562c9e5c859a23eee10952ae0/275x206n.jpg,"[{""id"": ""7316161"", ""loupan_id"": ""501195"", ""station_id"": ""121215"", ""subway_id"": ""12070"", ""city_id"": ""30"", ""distance"": ""927米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""15号线"", ""station_name"": ""文阳路"", ""distance_raw"": ""927""}]",青岛市城阳区硕阳路677号龙湖舜山府营销中心（临时售楼处））
249560,伟东湖山美地 书香郡,青岛,30,李沧区,3642,金水路,5196,青岛李沧区金水路黑龙江路482号（上王埠公交站对面）,,,,,85-184㎡,179000m²,443491m²,"[{""id"": 88405, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 88407, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 86}, {""id"": 372565, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 213520, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 110}, {""id"": 372559, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 132}, {""id"": 282104, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 184}]",2/3室,"2室户型,3室户型",,,,,[],"{多层,小高层,高层}",多层、小高层、高层,70年,2,35%,1653,毛坯,,住宅,,1.5元/㎡/月,,493,1:1,售罄,售罄,售罄,"[""青房注字(2015)033""]",[],,,青岛伟东置业有限公司,民电,民水,36.192486,120.433331,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""599"": ""省级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""54"": ""大型社区""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/28674f86a486b1f17bf677a0537463dc/275x206n.jpg,"[{""id"": ""7313704"", ""loupan_id"": ""249560"", ""station_id"": ""121207"", ""subway_id"": ""12070"", ""city_id"": ""30"", ""distance"": ""345米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""15号线"", ""station_name"": ""富锦路"", ""distance_raw"": ""345""}, {""id"": ""7313676"", ""loupan_id"": ""249560"", ""station_id"": ""121228"", ""subway_id"": ""126"", ""city_id"": ""30"", ""distance"": ""1401米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""下王埠"", ""distance_raw"": ""1401""}]",青岛李沧区金水路
491395,保利时代公寓,青岛,30,市北区,3640,湖岛,5193,青岛市北区湖岛宜昌路31号,,11000,11000元/㎡,首付13万，月供3225元,55-60㎡,110110.8m²,507907.79m²,"[{""id"": 658863, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 59.83}, {""id"": 658860, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 55.43}]",1/2室,商业户型,2021-04-16,2021年04月16日,2021年4月16日,2023年6月30日,"[""2021-04-01""]",{},,40年,,30%,257,毛坯,,商业,保利物业服务股份有限公司青岛分公司,2.2元/㎡/月,,2840,1:0.7,售罄,售罄,售罄,"[""青房预字（2021）第002号""]","[""1#""]",青岛广臻置业有限公司,保利集团,青岛广臻置业有限公司,商电,商水,36.124387,120.34946,"""""","{""559"": ""现房"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""402"": ""玄关入户"", ""397"": ""动静分离"", ""263"": ""VR看房"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""现房"", ""轨交房"", ""厨卫全明"", ""南北通透"", ""卧室全朝南""]",https://pic4.ajkimg.com/display/xinfang/7ece002b4beb3e4b41a6c24d05793cd7/275x206n.jpg,"[{""id"": ""7273640"", ""loupan_id"": ""491395"", ""station_id"": ""121176"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1163米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""海云庵"", ""distance_raw"": ""1163""}, {""id"": ""7273643"", ""loupan_id"": ""491395"", ""station_id"": ""121177"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1254米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""湖岛"", ""distance_raw"": ""1254""}, {""id"": ""7273642"", ""loupan_id"": ""491395"", ""station_id"": ""121178"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1447米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""瑞昌路"", ""distance_raw"": ""1447""}]",青岛市市北区宜昌路31号
244790,盛世豪庭,青岛,30,市北区,3640,台东,3674,青岛市北区台东市北汉口路88号（汉口路威海路交界处）,,,,,59-140㎡,96000m²,12000m²,"[{""id"": 42962, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 59}, {""id"": 42964, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 61}, {""id"": 42965, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 65}, {""id"": 42960, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 80}, {""id"": 42961, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 140}]",1/2/4室,"1室户型,2室户型,4室户型",,,,,[],{高层},高层,70年,5.97,35%,784,毛坯,,住宅,青岛戴维斯物业有限公司,1.8元/㎡/月,,600,,售罄,售罄,售罄,"[""青房注字2013第085号""]",[],,,香港德辉国际（集团）,民电,民水,36.098278,120.36613,"""""","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/0d02faad96d01aaad1d11976073f922b/275x206n.jpg,"[{""id"": ""7316187"", ""loupan_id"": ""244790"", ""station_id"": ""120433"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""442米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""海泊桥(海慈医疗)"", ""distance_raw"": ""442""}, {""id"": ""7315793"", ""loupan_id"": ""244790"", ""station_id"": ""120744"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""495米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""海泊桥(海慈医疗)"", ""distance_raw"": ""495""}, {""id"": ""7315791"", ""loupan_id"": ""244790"", ""station_id"": ""120743"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1232米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""海泊河公园"", ""distance_raw"": ""1232""}, {""id"": ""7315802"", ""loupan_id"": ""244790"", ""station_id"": ""120731"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1292米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""西吴家村"", ""distance_raw"": ""1292""}, {""id"": ""7313786"", ""loupan_id"": ""244790"", ""station_id"": ""120399"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""1467米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""台东"", ""distance_raw"": ""1467""}]",青岛市市北区汉口路88号
415720,海信绍兴路66号公寓,青岛,30,市北区,3640,错埠岭,5437,青岛市北区错埠岭绍兴路66号,,,,,44-46㎡,10251m²,39144.39m²,"[{""id"": 223428, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 44}, {""id"": 223423, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 46}, {""id"": 223426, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 46}]",1室,商业户型,,,,,[],{小高层},小高层,40年,2.2,30%,702,带装修,,商业,青岛睿海城市物业服务有限公司,3.8元/㎡/月,,241,3：1,售罄,售罄,售罄,"[""青房注字(2016)第151号"", ""青房注字（2017）第009号"", ""青房注字（2017）第011号""]",[],,,海信地产,商电,商水,36.098648,120.395613,"{""service_num"": ""4006708287"", ""num"": """"}","{""29"": ""装修交付"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""43"": ""loft"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院""}","[""装修交付"", ""轨交房"", ""多轨交"", ""loft"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/29b5d32d8eca65bdbdcf63c1930fd3ee/275x206n.jpg,"[{""id"": ""7315505"", ""loupan_id"": ""415720"", ""station_id"": ""4368"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""721米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""错埠岭"", ""distance_raw"": ""721""}, {""id"": ""7315503"", ""loupan_id"": ""415720"", ""station_id"": ""4369"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""822米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""敦化路"", ""distance_raw"": ""822""}, {""id"": ""7316428"", ""loupan_id"": ""415720"", ""station_id"": ""120732"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""942米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""错埠岭"", ""distance_raw"": ""942""}, {""id"": ""7316427"", ""loupan_id"": ""415720"", ""station_id"": ""120733"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1058米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""福辽立交桥"", ""distance_raw"": ""1058""}, {""id"": ""7316294"", ""loupan_id"": ""415720"", ""station_id"": ""121168"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1493米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""宁夏路"", ""distance_raw"": ""1493""}]",市北区绍兴路与辽阳西路路口南侧100米路西
383235,远洋万和四季,青岛,30,黄岛区,4516,长江路,5213,青岛黄岛区长江路香江路与武当山路交汇处,,,,,87-117㎡,29790m²,109242m²,"[{""id"": 145999, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 145996, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117}]",2/3室,"2室户型,3室户型",,,,,[],{高层},高层,70年,3,35%,827,毛坯,,住宅,,1.8元/㎡/月,,783,1:1,售罄,售罄,售罄,"[""青房注字青黄(2016)第013号""]",[],,,,民电,民水,35.974417813216,120.18806746101,"""""","{""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""配套纯熟"", ""便利店"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/6b3e13292eeb52c47af48360d83849a8/275x206n.jpg,"[{""id"": ""7314748"", ""loupan_id"": ""383235"", ""station_id"": ""4402"", ""subway_id"": ""123"", ""city_id"": ""30"", ""distance"": ""603米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""西海岸快线"", ""station_name"": ""香江路"", ""distance_raw"": ""603""}, {""id"": ""7314746"", ""loupan_id"": ""383235"", ""station_id"": ""4401"", ""subway_id"": ""123"", ""city_id"": ""30"", ""distance"": ""944米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""西海岸快线"", ""station_name"": ""嘉陵江路"", ""distance_raw"": ""944""}]",香江路与武当山路交汇处
383110,东苑府邸,青岛,30,胶州市,3647,胶州,3718,青岛胶州市胶州常州路20号,,,,,184㎡,5432m²,38024m²,"[{""id"": 144052, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 184}]",3室,3室户型,,,,,[],{多层},多层,70年,1.2,40%,308,毛坯,,住宅,,0.6元/㎡/月,,,1:0.8,售罄,售罄,售罄,[],[],,,青岛东苑置业集团有限公司,民电,民水,36.290405437332,120.02161888886,"{""service_num"": ""4006708287"", ""num"": """"}","{""53"": ""高绿化率"", ""52"": ""低容积"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""高绿化率"", ""低容积"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/22375cee3c7d627663cced175f5ea266/275x206n.jpg,[],胶州市常州路20号
