year,city,dtype,path,rows,usable_price_rows,usable_price_rate,geo_valid_rate,source,trust,is_synthetic
1995,三亚,客群样本,1995年\客群样本-三亚.csv,1000,,,,llm_generated,L3,True
1995,三亚,客群画像,1995年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
1995,三亚,楼盘,1995年\三亚.csv,14,0.0,0.0,,cloned_synthetic,L3,True
1995,上海,客群样本,1995年\客群样本-上海.csv,1000,,,,llm_generated,L3,True
1995,上海,客群画像,1995年\客群画像-上海.csv,5,,,,llm_generated,L3,True
1995,上海,楼盘,1995年\上海.csv,64,0.0,0.0,,cloned_synthetic,L3,True
1995,杭州,客群样本,1995年\客群样本-杭州.csv,1000,,,,llm_generated,L3,True
1995,杭州,客群画像,1995年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
1995,杭州,楼盘,1995年\杭州.csv,79,0.0,0.0,,cloned_synthetic,L3,True
1995,青岛,客群样本,1995年\客群样本-青岛.csv,1000,,,,llm_generated,L3,True
1995,青岛,客群画像,1995年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
1995,青岛,楼盘,1995年\青岛.csv,55,0.0,0.0,,cloned_synthetic,L3,True
1996,三亚,客群样本,1996年\客群样本-三亚.csv,1000,,,,llm_generated,L3,True
1996,三亚,客群画像,1996年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
1996,三亚,楼盘,1996年\三亚.csv,14,0.0,0.0,,cloned_synthetic,L3,True
1996,上海,客群样本,1996年\客群样本-上海.csv,1000,,,,llm_generated,L3,True
1996,上海,客群画像,1996年\客群画像-上海.csv,5,,,,llm_generated,L3,True
1996,上海,楼盘,1996年\上海.csv,64,0.0,0.0,,cloned_synthetic,L3,True
1996,杭州,客群样本,1996年\客群样本-杭州.csv,1000,,,,llm_generated,L3,True
1996,杭州,客群画像,1996年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
1996,杭州,楼盘,1996年\杭州.csv,79,0.0,0.0,,cloned_synthetic,L3,True
1996,青岛,客群样本,1996年\客群样本-青岛.csv,1000,,,,llm_generated,L3,True
1996,青岛,客群画像,1996年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
1996,青岛,楼盘,1996年\青岛.csv,55,0.0,0.0,,cloned_synthetic,L3,True
1997,三亚,客群样本,1997年\客群样本-三亚.csv,1000,,,,llm_generated,L3,True
1997,三亚,客群画像,1997年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
1997,三亚,楼盘,1997年\三亚.csv,14,0.0,0.0,,cloned_synthetic,L3,True
1997,上海,客群样本,1997年\客群样本-上海.csv,1000,,,,llm_generated,L3,True
1997,上海,客群画像,1997年\客群画像-上海.csv,5,,,,llm_generated,L3,True
1997,上海,楼盘,1997年\上海.csv,64,0.0,0.0,,cloned_synthetic,L3,True
1997,杭州,客群样本,1997年\客群样本-杭州.csv,1000,,,,llm_generated,L3,True
1997,杭州,客群画像,1997年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
1997,杭州,楼盘,1997年\杭州.csv,79,0.0,0.0,,cloned_synthetic,L3,True
1997,青岛,客群样本,1997年\客群样本-青岛.csv,1000,,,,llm_generated,L3,True
1997,青岛,客群画像,1997年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
1997,青岛,楼盘,1997年\青岛.csv,55,0.0,0.0,,cloned_synthetic,L3,True
1998,三亚,客群样本,1998年\客群样本-三亚.csv,1000,,,,llm_generated,L3,True
1998,三亚,客群画像,1998年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
1998,三亚,楼盘,1998年\三亚.csv,14,0.0,0.0,,cloned_synthetic,L3,True
1998,上海,客群样本,1998年\客群样本-上海.csv,1000,,,,llm_generated,L3,True
1998,上海,客群画像,1998年\客群画像-上海.csv,5,,,,llm_generated,L3,True
1998,上海,楼盘,1998年\上海.csv,64,0.0,0.0,,cloned_synthetic,L3,True
1998,杭州,客群样本,1998年\客群样本-杭州.csv,1000,,,,llm_generated,L3,True
1998,杭州,客群画像,1998年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
1998,杭州,楼盘,1998年\杭州.csv,79,0.0,0.0,,cloned_synthetic,L3,True
1998,青岛,客群样本,1998年\客群样本-青岛.csv,1000,,,,llm_generated,L3,True
1998,青岛,客群画像,1998年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
1998,青岛,楼盘,1998年\青岛.csv,55,0.0,0.0,,cloned_synthetic,L3,True
1999,三亚,客群样本,1999年\客群样本-三亚.csv,1000,,,,llm_generated,L3,True
1999,三亚,客群画像,1999年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
1999,三亚,楼盘,1999年\三亚.csv,14,0.0,0.0,,cloned_synthetic,L3,True
1999,上海,客群样本,1999年\客群样本-上海.csv,1000,,,,llm_generated,L3,True
1999,上海,客群画像,1999年\客群画像-上海.csv,5,,,,llm_generated,L3,True
1999,上海,楼盘,1999年\上海.csv,64,0.0,0.0,,cloned_synthetic,L3,True
1999,杭州,客群样本,1999年\客群样本-杭州.csv,1000,,,,llm_generated,L3,True
1999,杭州,客群画像,1999年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
1999,杭州,楼盘,1999年\杭州.csv,79,0.0,0.0,,cloned_synthetic,L3,True
1999,青岛,客群样本,1999年\客群样本-青岛.csv,1000,,,,llm_generated,L3,True
1999,青岛,客群画像,1999年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
1999,青岛,楼盘,1999年\青岛.csv,55,0.0,0.0,,cloned_synthetic,L3,True
2000,三亚,客群样本,2000年\客群样本-三亚.csv,1500,,,,llm_generated,L3,True
2000,三亚,客群画像,2000年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2000,三亚,楼盘,2000年\三亚.csv,43,0.0,0.0,,cloned_synthetic,L3,True
2000,上海,客群样本,2000年\客群样本-上海.csv,1500,,,,llm_generated,L3,True
2000,上海,客群画像,2000年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2000,上海,楼盘,2000年\上海.csv,193,1.0,0.005,,cloned_synthetic,L3,True
2000,杭州,客群样本,2000年\客群样本-杭州.csv,1500,,,,llm_generated,L3,True
2000,杭州,客群画像,2000年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2000,杭州,楼盘,2000年\杭州.csv,237,0.0,0.0,,cloned_synthetic,L3,True
2000,青岛,客群样本,2000年\客群样本-青岛.csv,1500,,,,llm_generated,L3,True
2000,青岛,客群画像,2000年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2000,青岛,楼盘,2000年\青岛.csv,165,0.0,0.0,,cloned_synthetic,L3,True
